Date,Close,High,Low,Open,Volume
2007-11-02,213.25,213.7,209.3,210.0,167030
2007-11-05,212.6,213.2,210.4,212.4,140590
2007-11-06,216.55,217.3,213.15,213.9,181450
2007-11-07,228.05,233.95,217.95,218.0,844390
2007-11-08,241.9,249.0,223.4,226.15,1020000
2007-11-09,228.35,242.0,227.0,241.9,737350
2007-11-12,227.0,235.4,225.2,228.2,635630
2007-11-13,222.05,226.95,215.45,225.45,648030
2007-11-14,222.15,228.95,220.35,226.0,445710
2007-11-15,221.05,224.95,218.65,222.2,280500
2007-11-16,223.25,225.1,218.05,220.6,462370
2007-11-19,213.4,227.1,212.0,222.2,283810
2007-11-20,215.6,217.85,205.35,216.0,395820
2007-11-21,212.75,213.85,209.1,212.2,266030
2007-11-22,215.9,217.0,209.25,213.35,253140
2007-11-23,216.0,219.0,215.05,217.2,294690
2007-11-26,219.7,223.0,215.3,217.5,369220
2007-11-27,215.75,219.65,213.1,219.65,196510
2007-11-28,222.85,224.4,215.05,217.6,237490
2007-11-29,228.15,228.8,223.0,226.0,282780
2007-11-30,232.0,234.0,224.0,229.1,276520
2007-12-03,234.5,238.0,228.0,234.1,282610
2007-12-04,226.9,236.85,226.0,235.15,305210
2007-12-05,232.95,233.6,228.4,229.9,318170
2007-12-06,233.15,237.3,232.0,235.7,182170
2007-12-07,235.25,238.45,232.95,237.05,229360
2007-12-10,235.1,237.8,232.9,233.6,292750
2007-12-11,229.25,238.0,228.15,237.05,380640
2007-12-12,233.25,234.1,223.8,224.95,281980
2007-12-13,224.1,232.9,224.0,230.0,351880
2007-12-14,229.3,229.65,224.25,224.25,255470
2007-12-17,222.25,228.5,222.1,226.4,206630
2007-12-18,224.5,226.5,222.0,222.15,390470
2007-12-19,219.75,226.6,219.55,225.6,197170
2007-12-20,213.85,222.6,212.35,219.1,305220
2007-12-21,219.85,221.9,215.1,220.0,244490
2007-12-24,219.85,219.85,219.85,219.85,0
2007-12-27,218.65,223.05,213.85,213.85,113250
2007-12-28,216.85,218.6,215.0,216.2,182210
2008-01-02,208.95,218.9,207.3,215.15,152360
2008-01-03,210.95,212.9,204.05,207.95,368090
2008-01-04,203.8,210.25,201.05,209.9,290220
2008-01-07,201.5,204.6,196.9,202.85,289770
2008-01-08,209.5,212.75,202.55,204.0,293180
2008-01-09,206.1,209.95,202.1,207.5,410640
2008-01-10,204.65,210.5,203.0,207.4,205780
2008-01-11,198.3,208.3,196.4,204.6,361480
2008-01-14,205.7,207.5,198.8,199.0,317610
2008-01-15,198.25,204.7,196.5,202.2,237170
2008-01-16,187.75,198.25,185.1,198.25,554460
