Date,Close,High,Low,Open,Volume
2009-02-11,33.72,33.72,33.58,33.67,0
2009-02-12,33.1,33.72,33.1,33.65,0
2009-02-13,34.74,34.74,33.67,33.67,0
2009-02-16,33.51,34.56,33.51,34.31,0
2009-02-17,33.3,34.0,33.3,33.64,0
2009-02-18,33.86,33.86,32.94,33.46,0
2009-02-19,33.22,33.93,33.22,33.84,0
2009-02-20,33.36,33.36,32.5,32.97,0
2009-02-25,31.98,32.87,31.98,32.52,0
2009-02-26,32.7,32.7,31.9,31.9,0
2009-02-27,31.15,32.41,31.15,32.14,0
2009-03-06,28.6,30.33,28.6,30.23,0
2009-03-09,28.13,28.13,27.66,28.01,0
2009-03-10,28.2,29.17,28.2,28.35,0
2009-03-11,29.91,29.91,28.83,29.13,0
2009-03-12,29.73,29.73,28.76,29.02,0
2009-03-13,29.33,30.49,29.33,29.85,0
2009-03-16,29.78,30.34,29.78,30.17,0
2009-03-17,30.33,30.33,29.68,30.0,0
2009-03-18,29.88,31.2,29.88,30.21,0
2009-03-19,31.25,31.25,30.12,30.52,0
2009-03-20,30.73,30.73,30.01,30.5,0
2009-04-01,32.46,32.46,31.84,31.84,0
2009-04-02,33.32,33.32,32.4,32.8,0
2009-04-03,34.15,34.15,33.0,33.11,0
2009-04-06,33.5,34.35,33.5,34.13,0
2009-04-07,33.84,34.76,33.84,34.49,0
2009-04-08,34.64,34.64,33.44,33.5,0
2009-04-09,35.37,35.37,34.0,34.62,0
2009-04-16,36.05,36.05,34.98,35.05,0
2009-04-17,36.7,36.7,35.61,35.76,0
2009-04-20,35.56,36.25,35.56,36.25,0
2009-04-21,34.8,35.97,34.8,35.68,0
2009-04-22,36.8,36.8,35.07,35.55,0
2009-04-23,37.02,37.02,35.86,36.37,0
2009-04-24,37.09,37.09,36.63,36.69,0
2009-04-27,37.08,37.08,36.35,36.36,0
2009-04-28,36.81,36.81,35.47,36.4,0
2009-04-29,37.49,37.49,36.3,36.66,0
2009-04-30,37.74,38.74,37.74,38.1,0
2009-05-05,37.78,37.78,36.78,36.78,0
2009-05-06,37.56,37.56,36.9,37.11,0
2009-05-07,36.34,37.52,36.34,37.22,0
2009-05-08,36.51,37.2,36.51,36.78,0
2009-05-14,35.96,35.96,35.21,35.27,0
2009-05-15,36.5,36.5,35.55,35.56,0
2009-05-18,37.45,37.45,35.82,35.85,0
2009-05-19,38.08,38.08,37.23,37.47,0
2009-05-20,37.55,38.2,37.55,38.0,0
2009-05-21,37.0,38.0,37.0,38.0,0
2009-05-22,37.58,37.58,37.0,37.06,0
2009-05-25,37.38,37.38,36.78,37.05,0
2009-05-26,36.16,37.24,36.16,37.05,0
2009-05-27,37.66,37.66,36.64,37.0,0
2009-05-28,36.52,37.37,36.52,36.97,0
2009-05-29,36.45,37.26,36.45,36.8,0
2009-06-02,38.29,38.29,37.65,37.92,0
2009-06-03,37.1,38.28,37.1,38.2,0
2009-06-04,36.76,37.99,36.76,37.16,0
2009-06-05,36.8,37.6,36.8,37.21,0
2009-06-11,37.08,37.64,37.08,37.15,0
2009-06-12,37.05,37.38,37.05,37.25,0
2009-06-15,36.22,36.59,36.22,36.43,0
2009-06-16,36.96,36.96,36.18,36.34,0
2009-06-17,35.2,35.65,35.2,35.56,0
2009-06-18,35.7,35.7,34.92,35.41,0
2009-06-19,36.39,36.39,35.4,35.4,0
2009-06-24,36.39,36.39,35.05,35.57,0
2009-06-25,35.63,36.64,35.63,36.22,0
2009-06-26,36.1,36.82,36.1,36.41,0
2009-07-02,34.55,35.66,34.55,35.55,0
2009-07-03,34.4,34.86,34.4,34.85,0
2009-07-06,34.66,34.66,33.99,34.13,0
2009-07-07,34.08,35.0,34.08,34.33,0
2009-07-08,34.55,34.55,33.8,33.9,0
2009-07-09,34.52,35.07,34.21,34.3,0
2009-07-10,34.18,34.52,33.9,34.18,0
2009-07-13,35.09,35.29,34.07,34.2,0
2009-07-14,35.36,35.37,34.84,35.09,0
2009-07-15,35.71,35.93,35.21,35.41,0
2009-07-16,36.1,36.41,35.6,35.89,0
2009-07-17,36.08,36.44,35.87,36.14,0
2009-07-20,36.01,36.28,35.71,36.28,0
2009-07-21,36.69,36.73,36.11,36.11,0
2009-07-22,36.39,36.68,35.82,36.68,0
2009-07-23,37.09,37.09,36.33,36.44,0
2009-07-24,36.87,37.3,36.32,36.95,0
2009-07-28,37.15,37.4,36.83,37.23,0
2009-07-29,37.22,37.45,36.93,37.09,0
2009-07-30,37.68,37.68,37.03,37.56,0
2009-07-31,37.26,37.51,36.75,37.37,0
2009-08-03,37.07,37.3,36.77,37.12,0
2009-08-04,36.88,37.06,36.38,37.06,0
2009-08-05,36.3,37.16,36.25,37.03,0
2009-08-06,36.14,36.82,36.09,36.55,0
2009-08-07,36.25,36.4,36.02,36.06,0
2009-08-10,36.1,36.18,35.84,36.09,0
2009-08-11,36.02,36.45,35.95,36.16,0
2009-08-12,36.05,36.28,35.73,36.04,0
2009-08-13,36.39,36.49,36.08,36.08,0
2009-08-14,35.79,36.52,35.75,36.32,0
2009-08-17,34.94,35.67,34.76,35.59,0
2009-08-18,35.14,35.21,34.89,35.06,0
2009-08-19,35.22,35.38,34.82,35.09,0
2009-08-20,36.02,36.22,35.45,35.45,0
2009-08-21,36.52,36.81,35.81,35.91,0
2009-08-24,36.6,36.9,36.41,36.9,0
2009-08-25,36.4,36.7,36.15,36.45,0
2009-08-26,18.42,36.37,18.42,36.23,0
2009-08-27,36.13,36.42,18.45,36.25,0
2009-08-28,36.06,36.42,35.94,36.34,0
2009-08-31,35.95,36.24,35.85,35.94,0
2009-09-01,35.46,36.19,35.31,36.13,0
2009-09-02,35.16,35.52,34.87,35.52,0
2009-09-03,35.13,35.23,34.88,35.2,0
2009-09-04,35.14,35.46,34.77,35.17,0
2009-09-07,35.6,35.79,35.03,35.34,0
2009-09-08,35.25,35.96,35.09,35.81,0
2009-09-09,35.5,35.59,35.37,35.54,0
2009-09-10,35.13,35.56,34.88,35.55,0
2009-09-11,35.59,35.71,35.14,35.25,0
2009-09-14,35.81,35.85,35.37,35.54,0
2009-09-15,35.78,35.99,35.57,35.8,0
2009-09-16,35.99,36.19,35.66,35.92,0
2009-09-17,36.14,36.33,36.0,36.23,0
2009-09-18,36.25,36.3,36.03,36.06,0
2009-09-21,35.92,36.33,35.77,36.19,0
2009-09-22,36.36,36.66,35.93,36.05,0
2009-09-23,36.03,36.6,35.97,36.32,0
2009-09-24,35.88,36.15,35.58,36.08,0
2009-09-25,35.48,35.75,35.28,35.75,0
2009-09-28,35.92,35.95,35.29,35.49,0
2009-09-29,35.95,36.13,35.66,36.08,0
2009-09-30,35.7,36.11,35.17,36.01,0
2009-10-01,35.38,35.99,35.38,35.75,0
