Date,Close,High,Low,Open,Volume
2009-02-11,3.45,3.45,3.38,3.38,0
2009-02-12,3.45,3.56,3.45,3.5,0
2009-02-13,3.77,3.77,3.63,3.65,0
2009-02-16,3.53,3.71,3.53,3.7,0
2009-02-17,3.33,3.54,3.33,3.54,0
2009-02-18,3.13,3.41,3.13,3.36,0
2009-02-19,3.08,3.23,3.08,3.22,0
2009-02-20,2.92,3.11,2.92,3.11,0
2009-02-25,3.2,3.2,3.07,3.1,0
2009-02-26,3.38,3.38,3.1,3.1,0
2009-02-27,3.34,3.34,3.23,3.27,0
2009-03-06,3.12,3.25,3.12,3.25,0
2009-03-09,3.18,3.18,3.13,3.13,0
2009-03-10,3.18,3.18,3.0,3.09,0
2009-03-11,3.22,3.22,3.09,3.09,0
2009-03-12,3.21,3.21,3.1,3.14,0
2009-03-13,3.13,3.24,3.13,3.2,0
2009-03-16,3.7,3.7,3.36,3.36,0
2009-03-17,3.44,3.58,3.44,3.46,0
2009-03-18,3.33,3.57,3.33,3.57,0
2009-03-19,3.23,3.4,3.23,3.4,0
2009-03-20,3.07,3.25,3.07,3.23,0
2009-04-01,3.08,3.08,2.99,2.99,0
2009-04-02,3.29,3.29,3.13,3.13,0
2009-04-03,3.37,3.37,3.22,3.28,0
2009-04-06,3.17,3.34,3.17,3.34,0
2009-04-07,3.17,3.3,3.17,3.22,0
2009-04-08,3.23,3.23,3.12,3.18,0
2009-04-09,3.97,3.97,3.25,3.26,0
2009-04-16,4.12,4.56,4.12,4.55,0
2009-04-17,4.33,4.33,4.04,4.25,0
2009-04-20,3.97,4.18,3.97,4.11,0
2009-04-21,3.92,3.92,3.61,3.81,0
2009-04-22,3.84,4.02,3.84,3.91,0
2009-04-23,4.04,4.04,3.92,3.95,0
2009-04-24,4.07,4.07,3.96,3.97,0
2009-04-27,4.06,4.06,3.9,3.95,0
2009-04-28,3.85,4.0,3.85,4.0,0
2009-04-29,4.05,4.05,3.93,4.02,0
2009-04-30,4.23,4.23,3.96,4.07,0
2009-05-05,4.79,4.79,4.41,4.5,0
2009-05-06,4.6,4.83,4.6,4.71,0
2009-05-07,5.06,5.06,4.71,4.71,0
2009-05-08,5.73,5.73,5.0,5.0,0
2009-05-14,4.97,5.27,4.97,5.15,0
2009-05-15,5.0,5.28,5.0,5.18,0
2009-05-18,5.07,5.3,5.07,5.22,0
2009-05-19,5.23,5.43,5.23,5.29,0
2009-05-20,5.3,5.51,5.3,5.47,0
2009-05-21,5.03,5.31,5.03,5.31,0
2009-05-22,5.4,5.4,5.06,5.06,0
2009-05-25,5.3,5.3,5.25,5.25,0
2009-05-26,5.06,5.34,5.06,5.25,0
2009-05-27,5.11,5.29,5.11,5.2,0
2009-05-28,5.04,5.15,5.04,5.15,0
