Date,Close,High,Low,Open,Volume
2009-02-11,16.77,16.77,16.64,16.64,0
2009-02-12,16.87,16.87,16.5,16.85,0
2009-02-13,16.5,17.27,16.5,16.95,0
2009-02-16,16.23,16.65,16.23,16.36,0
2009-02-17,15.56,16.16,15.56,16.15,0
2009-02-18,14.93,15.78,14.93,15.67,0
2009-02-19,15.82,15.82,15.35,15.47,0
2009-02-20,16.15,16.15,15.45,15.45,0
2009-02-25,15.21,15.78,15.21,15.35,0
2009-02-26,15.77,15.77,15.3,15.34,0
2009-02-27,14.8,15.27,14.8,15.21,0
2009-03-06,13.68,13.68,13.25,13.37,0
2009-03-09,13.17,13.4,13.17,13.36,0
2009-03-10,14.49,14.49,13.11,13.13,0
2009-03-11,15.01,15.01,13.82,14.3,0
2009-03-12,14.68,14.68,14.02,14.2,0
2009-03-13,15.45,15.45,15.1,15.1,0
2009-03-16,15.25,15.62,15.25,15.57,0
2009-03-17,15.54,15.54,15.0,15.15,0
2009-03-18,15.71,15.71,15.21,15.21,0
2009-03-19,16.58,16.58,15.61,15.7,0
2009-03-20,16.89,16.89,16.15,16.4,0
2009-04-01,18.53,18.53,18.33,18.33,0
2009-04-02,19.45,19.45,18.53,18.53,0
2009-04-03,19.97,19.97,18.08,19.3,0
2009-04-06,19.31,20.29,19.31,19.86,0
2009-04-07,19.01,19.97,19.01,19.55,0
2009-04-08,19.34,19.34,18.6,18.71,0
2009-04-09,19.87,19.87,19.14,19.31,0
2009-04-16,19.9,20.5,19.9,20.21,0
2009-04-17,20.36,20.36,19.93,20.1,0
2009-04-20,19.82,20.31,19.82,20.31,0
2009-04-21,19.1,20.15,19.1,19.71,0
2009-04-22,20.38,20.38,19.65,19.77,0
2009-04-23,21.41,21.41,19.91,20.19,0
2009-04-24,21.56,21.56,21.12,21.18,0
2009-04-27,21.17,21.17,20.7,20.76,0
2009-04-28,21.44,21.44,20.21,20.86,0
2009-04-29,21.58,21.58,20.91,20.91,0
2009-04-30,21.52,21.52,20.76,21.4,0
2009-05-05,23.0,23.0,22.2,22.2,0
2009-05-06,23.49,23.49,23.04,23.04,0
2009-05-07,21.3,22.91,21.3,22.75,0
2009-05-08,22.39,22.39,21.52,21.63,0
2009-05-14,21.72,21.72,21.05,21.13,0
2009-05-15,22.11,22.11,21.0,21.73,0
2009-05-18,22.28,22.28,21.49,21.54,0
2009-05-19,22.97,22.97,22.32,22.51,0
2009-05-20,22.66,23.39,22.66,22.8,0
2009-05-21,23.1,23.1,22.47,22.86,0
2009-05-22,22.33,23.01,22.33,22.53,0
2009-05-25,22.57,22.57,22.31,22.5,0
2009-05-26,22.64,22.64,22.15,22.42,0
2009-05-27,22.98,22.98,22.6,22.63,0
2009-05-28,22.75,23.06,22.75,22.85,0
2009-05-29,22.5,23.05,22.5,22.77,0
2009-06-02,23.79,23.79,23.31,23.31,0
2009-06-03,23.46,23.98,23.46,23.7,0
2009-06-04,23.31,24.14,23.31,23.7,0
2009-06-05,24.14,24.14,23.51,23.51,0
2009-06-11,23.41,23.64,23.41,23.57,0
2009-06-12,23.53,23.72,23.53,23.55,0
2009-06-15,22.39,22.8,22.39,22.8,0
2009-06-16,21.66,22.31,21.66,22.21,0
2009-06-17,20.08,20.73,20.08,20.71,0
2009-06-18,20.3,20.81,20.3,20.64,0
2009-06-19,21.04,21.04,20.51,20.53,0
2009-06-24,21.25,21.25,20.82,20.99,0
2009-06-25,20.81,21.26,20.81,21.2,0
2009-06-26,21.06,21.35,21.06,21.29,0
2009-07-02,21.01,21.7,21.01,21.6,0
2009-07-03,20.32,21.19,20.32,21.06,0
2009-07-06,20.57,20.57,20.18,20.39,0
2009-07-07,20.8,20.8,20.14,20.2,0
2009-07-08,20.59,20.59,20.15,20.2,0
2009-07-09,20.37,20.62,20.25,20.39,0
2009-07-10,20.22,20.58,20.1,20.31,0
2009-07-13,20.65,20.67,20.1,20.14,0
2009-07-14,21.43,21.43,20.51,20.65,0
2009-07-15,21.47,21.68,21.16,21.47,0
2009-07-16,21.98,22.07,21.4,21.5,0
2009-07-17,22.12,22.46,22.0,22.1,0
2009-07-20,22.24,22.32,22.17,22.22,0
2009-07-21,22.19,22.58,22.01,22.15,0
2009-07-22,22.42,22.45,22.11,22.2,0
2009-07-23,22.49,22.49,22.12,22.43,0
2009-07-24,22.5,22.77,22.4,22.4,0
2009-07-28,22.65,23.23,22.65,22.98,0
2009-07-29,22.52,23.07,22.47,22.63,0
2009-07-30,22.53,22.86,22.36,22.76,0
2009-07-31,22.78,22.95,22.44,22.52,0
2009-08-03,23.32,23.68,22.89,22.89,0
2009-08-04,23.24,23.57,22.74,23.56,0
2009-08-05,23.12,23.55,23.02,23.28,0
2009-08-06,23.19,23.54,23.05,23.28,0
2009-08-07,23.19,23.3,23.02,23.15,0
2009-08-10,23.31,23.56,23.08,23.14,0
2009-08-11,23.38,23.72,23.2,23.4,0
2009-08-12,23.39,23.49,22.83,23.26,0
2009-08-13,23.29,23.57,23.16,23.47,0
2009-08-14,23.15,23.52,23.06,23.38,0
2009-08-17,22.37,23.05,22.36,23.02,0
2009-08-18,22.79,22.86,22.43,22.44,0
2009-08-19,23.03,23.19,22.4,22.78,0
2009-08-20,23.43,23.65,23.16,23.24,0
2009-08-21,23.93,23.98,23.35,23.41,0
2009-08-24,23.81,24.07,23.79,23.98,0
2009-08-25,23.89,23.89,23.67,23.72,0
2009-08-26,23.82,23.99,23.7,23.82,0
2009-08-27,24.1,24.24,23.85,23.85,0
2009-08-28,24.55,24.66,24.14,24.26,0
2009-08-31,24.59,24.96,24.47,24.64,0
2009-09-01,24.39,25.07,24.36,24.81,0
2009-09-02,24.64,24.7,24.03,24.49,0
2009-09-03,24.64,24.81,24.34,24.63,0
2009-09-04,24.84,24.91,24.73,24.8,0
2009-09-07,25.33,25.49,25.02,25.02,0
2009-09-08,25.67,25.73,25.37,25.37,0
2009-09-09,25.76,25.8,25.62,25.64,0
2009-09-10,24.84,25.47,24.33,25.35,0
2009-09-11,25.02,25.19,24.97,24.99,0
2009-09-14,24.98,24.98,24.26,24.79,0
2009-09-15,24.87,25.1,24.87,24.92,0
2009-09-16,25.55,25.8,24.83,24.99,0
2009-09-17,25.52,25.81,25.34,25.77,0
2009-09-18,25.66,25.69,25.22,25.22,0
2009-09-21,25.53,25.6,25.12,25.6,0
2009-09-22,25.35,25.94,25.27,25.69,0
2009-09-23,26.43,26.46,25.53,25.53,0
2009-09-24,25.9,26.39,25.83,26.38,0
2009-09-25,26.17,26.39,25.64,26.09,0
2009-09-28,26.54,26.57,25.95,26.27,0
2009-09-29,27.12,27.3,26.55,26.65,0
2009-09-30,26.7,27.59,26.23,27.33,0
2009-10-01,25.26,26.87,25.22,26.67,0
2009-10-02,24.47,25.32,24.34,25.23,0
2009-10-05,24.15,24.64,23.92,24.58,0
2009-10-06,24.12,24.67,23.95,24.18,0
2009-10-07,23.52,24.65,23.33,24.22,0
2009-10-08,23.64,24.12,23.25,23.25,0
2009-10-09,23.36,23.76,23.27,23.73,0
2009-10-12,23.43,23.83,23.34,23.42,0
2009-10-13,22.94,23.52,22.87,23.4,0
2009-10-14,24.01,24.07,23.12,23.15,0
2009-10-15,23.47,24.19,23.29,24.11,0
2009-10-16,23.4,24.02,23.03,23.65,0
2009-10-19,22.68,23.19,22.57,23.09,0
2009-10-20,22.25,22.97,22.13,22.78,0
2009-10-21,22.85,22.92,22.39,22.39,0
2009-10-22,22.74,22.74,22.4,22.73,0
2009-10-23,22.96,23.14,22.79,22.79,0
2009-10-26,22.84,23.25,22.73,23.17,0
2009-10-27,22.44,22.92,22.41,22.86,0
2009-10-28,22.37,22.6,22.27,22.44,0
2009-10-29,22.96,23.19,22.13,22.29,0
2009-10-30,22.79,23.49,22.72,23.15,0
2009-11-02,22.94,23.16,22.59,22.9,0
2009-11-03,23.04,23.15,22.67,22.78,0
2009-11-04,23.17,23.29,23.09,23.13,0
2009-11-05,23.05,23.24,22.74,22.92,0
2009-11-06,23.18,23.44,22.93,23.15,0
2009-11-09,23.58,23.64,23.45,23.46,0
2009-11-10,23.52,23.6,23.35,23.57,0
2009-11-11,23.45,23.63,23.43,23.56,0
2009-11-12,23.37,23.52,23.29,23.47,0
2009-11-13,23.22,23.38,23.1,23.38,0
2009-11-16,23.79,23.79,23.51,23.67,0
2009-11-17,23.87,24.02,23.69,23.82,0
2009-11-18,24.22,24.51,23.94,24.02,0
2009-11-19,23.73,24.43,23.66,24.23,0
2009-11-20,23.56,23.95,23.41,23.77,0
2009-11-23,23.74,23.94,23.56,23.69,0
2009-11-24,23.95,24.13,23.39,23.67,0
2009-11-25,23.9,24.2,23.84,24.13,0
2009-11-26,23.45,23.9,23.24,23.89,0
2009-11-27,23.77,23.83,23.18,23.18,0
2009-11-30,23.55,23.98,23.34,23.92,0
2009-12-01,23.58,23.83,23.48,23.74,0
2009-12-02,23.58,23.69,23.51,23.56,0
2009-12-03,23.77,23.86,23.62,23.67,0
2009-12-04,23.9,23.99,23.51,23.72,0
2009-12-07,23.85,23.99,23.63,23.85,0
2009-12-08,23.54,23.85,23.51,23.75,0
2009-12-09,23.33,23.81,23.27,23.62,0
2009-12-10,22.71,23.23,22.46,23.23,0
2009-12-11,22.54,22.92,22.51,22.81,0
2009-12-14,22.8,23.01,22.66,22.74,0
2009-12-15,22.85,22.91,22.51,22.85,0
2009-12-16,22.89,23.1,22.89,22.9,0
2009-12-17,22.87,23.02,22.76,22.98,0
2009-12-18,22.96,23.02,22.81,22.81,0
2009-12-21,23.35,23.49,23.07,23.25,0
2009-12-22,22.73,22.95,22.63,22.95,0
