Date,Close,High,Low,Open,Volume
2009-02-11,13.71,13.71,13.65,13.65,0
2009-02-12,13.81,13.81,13.55,13.6,0
2009-02-13,13.06,13.73,13.06,13.67,0
2009-02-16,12.38,13.12,12.38,13.05,0
2009-02-17,13.02,13.02,12.47,12.58,0
2009-02-18,12.96,12.96,12.73,12.84,0
2009-02-19,13.26,13.26,12.87,12.89,0
2009-02-20,13.28,13.28,12.6,12.6,0
2009-02-25,12.74,13.27,12.74,13.14,0
2009-02-26,13.1,13.1,12.76,12.83,0
2009-02-27,12.7,12.94,12.7,12.83,0
2009-03-06,11.65,11.99,11.65,11.8,0
2009-03-09,11.72,11.72,11.62,11.68,0
2009-03-10,11.31,11.8,11.31,11.62,0
2009-03-11,11.05,11.48,11.05,11.46,0
2009-03-12,11.25,11.25,10.9,11.16,0
2009-03-13,11.47,11.47,11.21,11.21,0
2009-03-16,10.97,11.33,10.97,11.33,0
2009-03-17,11.22,11.22,11.05,11.17,0
2009-03-18,11.39,11.39,11.16,11.22,0
2009-03-19,11.47,11.47,11.25,11.28,0
2009-03-20,12.0,12.0,11.33,11.33,0
2009-04-01,11.0,11.11,11.0,11.02,0
2009-04-02,11.24,11.24,11.06,11.06,0
2009-04-03,11.06,11.17,11.06,11.14,0
2009-04-06,10.89,11.34,10.89,11.27,0
2009-04-07,11.05,11.32,11.05,11.11,0
2009-04-08,11.2,11.2,10.9,10.9,0
2009-04-09,11.4,11.4,11.0,11.07,0
2009-04-16,12.16,12.16,11.68,11.74,0
2009-04-17,12.25,12.25,12.0,12.14,0
2009-04-20,11.99,12.32,11.99,12.16,0
2009-04-21,11.88,12.16,11.88,12.03,0
2009-04-22,12.42,12.42,12.0,12.05,0
2009-04-23,12.55,12.55,12.32,12.43,0
2009-04-24,12.7,12.7,12.39,12.42,0
2009-04-27,12.51,12.51,12.37,12.48,0
2009-04-28,12.82,12.82,12.07,12.44,0
2009-04-29,13.04,13.04,12.75,12.75,0
2009-04-30,13.34,13.34,12.9,12.96,0
