Date,Close,High,Low,Open,Volume
2009-02-11,21.83,21.83,21.46,21.46,0
2009-02-12,21.05,21.71,21.05,21.7,0
2009-02-13,22.19,22.19,21.7,21.7,0
2009-02-16,21.35,22.1,21.35,21.9,0
2009-02-17,21.02,21.41,21.02,21.4,0
2009-02-18,21.67,21.67,20.9,21.28,0
2009-02-19,21.55,21.55,21.0,21.31,0
2009-02-20,20.38,21.25,20.38,21.2,0
2009-02-25,20.7,20.7,20.15,20.6,0
2009-02-26,20.55,20.91,20.55,20.61,0
2009-02-27,20.05,20.78,20.05,20.51,0
2009-03-06,19.89,19.89,19.24,19.33,0
2009-03-09,18.34,18.8,18.34,18.79,0
2009-03-10,19.77,19.77,18.21,18.21,0
2009-03-11,20.6,20.6,19.53,19.91,0
2009-03-12,20.48,20.48,19.54,19.82,0
2009-03-13,20.24,21.05,20.24,20.7,0
2009-03-16,20.47,21.28,20.47,21.24,0
2009-03-17,21.42,21.42,20.53,20.53,0
2009-03-18,21.0,21.79,21.0,21.63,0
2009-03-19,21.2,22.0,21.2,21.79,0
2009-03-20,21.76,21.76,20.7,20.7,0
2009-04-01,23.94,23.94,23.48,23.67,0
2009-04-02,24.69,24.69,23.61,24.02,0
2009-04-03,25.1,25.1,24.06,24.13,0
2009-04-06,24.62,25.4,24.62,25.29,0
2009-04-07,24.31,25.36,24.31,25.18,0
2009-04-08,25.22,25.22,24.15,24.66,0
2009-04-09,25.3,25.3,24.51,24.87,0
2009-04-16,26.78,26.78,25.69,25.8,0
2009-04-17,27.18,27.18,25.95,26.3,0
2009-04-20,25.7,27.0,25.7,26.99,0
2009-04-21,24.52,25.94,24.52,25.69,0
2009-04-22,26.79,26.79,25.25,25.25,0
2009-04-23,27.3,27.3,26.1,26.54,0
2009-04-24,26.48,26.97,26.48,26.6,0
2009-04-27,26.85,26.85,26.05,26.05,0
2009-04-28,26.2,26.2,25.5,25.88,0
2009-04-29,26.62,26.62,25.93,26.03,0
2009-04-30,27.83,27.83,26.49,26.52,0
2009-05-05,29.6,29.6,27.62,27.62,0
2009-05-06,29.11,29.11,27.55,28.56,0
2009-05-07,28.13,29.62,28.13,28.7,0
2009-05-08,28.01,29.21,28.01,28.78,0
2009-05-14,27.45,27.45,26.32,26.41,0
2009-05-15,27.44,27.44,26.5,26.7,0
2009-05-18,26.66,27.36,26.66,26.88,0
2009-05-19,28.88,28.88,27.21,27.21,0
2009-05-20,28.61,28.61,27.6,28.1,0
2009-05-21,27.37,28.42,27.37,28.1,0
2009-05-22,27.79,28.42,27.79,27.8,0
2009-05-25,28.14,28.14,27.4,28.02,0
2009-05-26,28.2,28.2,27.31,27.65,0
2009-05-27,28.42,28.42,27.61,28.11,0
2009-05-28,27.77,27.77,27.35,27.6,0
2009-05-29,27.57,28.05,27.57,27.7,0
2009-06-02,28.98,28.98,28.47,28.57,0
2009-06-03,28.47,28.95,28.47,28.6,0
2009-06-04,27.85,28.89,27.85,28.7,0
2009-06-05,28.0,28.74,28.0,28.09,0
2009-06-11,29.0,29.0,28.63,28.69,0
2009-06-12,29.12,29.12,28.68,29.0,0
2009-06-15,28.72,28.72,27.56,28.17,0
2009-06-16,27.9,28.49,27.9,28.4,0
2009-06-17,26.55,26.96,26.55,26.84,0
2009-06-18,26.91,26.91,26.08,26.62,0
2009-06-19,27.65,27.65,26.56,26.7,0
2009-06-24,28.05,28.05,26.47,26.85,0
2009-06-25,28.7,28.7,27.63,28.07,0
2009-06-26,28.46,28.98,28.46,28.53,0
2009-07-02,28.52,29.73,28.52,28.9,0
2009-07-03,28.61,29.2,28.61,29.17,0
2009-07-06,27.08,27.64,27.08,27.59,0
2009-07-07,27.17,27.83,27.17,27.59,0
2009-07-08,26.55,27.21,26.55,26.87,0
2009-07-09,27.12,27.59,26.65,26.67,0
2009-07-10,26.86,27.43,26.7,26.94,0
2009-07-13,27.28,27.44,26.42,26.57,0
2009-07-14,27.37,27.44,26.75,27.21,0
2009-07-15,27.97,28.2,27.35,27.43,0
2009-07-16,28.19,28.41,27.5,27.77,0
2009-07-17,28.48,28.71,27.85,28.24,0
2009-07-20,28.31,28.69,28.02,28.66,0
2009-07-21,28.39,28.57,28.1,28.3,0
2009-07-22,28.56,28.67,28.0,28.32,0
2009-07-23,28.58,28.68,28.2,28.66,0
2009-07-24,28.59,29.08,28.36,28.4,0
2009-07-28,28.23,28.75,27.88,28.65,0
2009-07-29,28.29,28.39,27.7,28.12,0
2009-07-30,28.4,28.57,27.81,28.49,0
2009-07-31,28.15,28.34,27.48,28.16,0
2009-08-03,28.29,28.43,27.81,28.11,0
2009-08-04,28.44,28.47,27.91,28.25,0
2009-08-05,28.09,28.77,28.03,28.57,0
2009-08-06,28.45,28.63,28.14,28.3,0
2009-08-07,29.01,29.14,28.37,28.38,0
2009-08-10,29.08,29.22,28.58,28.88,0
2009-08-11,28.48,29.55,28.29,28.97,0
2009-08-12,28.6,28.77,28.04,28.28,0
2009-08-13,28.64,29.1,28.39,28.77,0
2009-08-14,28.25,28.78,28.1,28.65,0
2009-08-17,27.87,28.29,27.24,28.23,0
2009-08-18,27.91,28.16,27.43,27.98,0
2009-08-19,27.87,27.98,27.55,27.84,0
2009-08-20,28.09,28.69,27.86,27.97,0
2009-08-21,28.51,28.76,28.0,28.01,0
2009-08-24,28.63,28.89,28.56,28.7,0
2009-08-25,28.71,28.73,28.35,28.52,0
2009-08-26,28.32,28.77,28.24,28.45,0
2009-08-27,28.52,28.56,28.13,28.34,0
2009-08-28,28.23,28.66,28.2,28.66,0
2009-08-31,28.21,28.46,28.18,28.22,0
2009-09-01,27.09,28.37,27.05,28.27,0
2009-09-02,26.41,27.08,25.89,27.05,0
2009-09-03,26.88,26.89,26.18,26.38,0
2009-09-04,27.06,27.24,26.81,26.89,0
2009-09-07,27.73,27.97,27.32,27.44,0
2009-09-08,27.48,27.99,27.39,27.8,0
2009-09-09,28.24,28.48,28.07,28.16,0
2009-09-10,27.98,28.33,27.44,28.23,0
2009-09-11,28.28,28.35,27.96,27.96,0
2009-09-14,28.27,28.41,27.64,28.13,0
2009-09-15,28.17,28.35,27.87,28.22,0
2009-09-16,28.42,28.76,28.35,28.35,0
2009-09-17,28.52,28.79,28.41,28.57,0
2009-09-18,28.43,28.53,28.32,28.38,0
2009-09-21,28.47,28.53,28.33,28.39,0
2009-09-22,29.48,29.91,28.45,28.52,0
2009-09-23,29.56,29.87,29.33,29.38,0
2009-09-24,29.21,29.81,28.83,29.39,0
2009-09-25,28.95,29.28,28.72,29.24,0
2009-09-28,29.58,29.78,28.42,28.89,0
2009-09-29,32.11,32.44,30.03,30.11,0
2009-09-30,31.92,33.31,30.91,32.44,0
