Date,Close,High,Low,Open,Volume
2007-01-02,12.85,12.94,12.71,12.9,3080000
2007-01-03,12.66,12.86,12.6,12.85,2740000
2007-01-04,12.45,12.72,12.38,12.59,2330000
2007-01-05,12.2,12.36,12.07,12.36,3700000
2007-01-08,12.19,12.28,12.15,12.17,1930000
2007-01-09,12.45,12.5,12.22,12.22,1970000
2007-01-10,12.28,12.48,12.26,12.39,2560000
2007-01-11,12.35,12.49,12.2,12.4,2490000
2007-01-12,12.5,12.53,12.31,12.31,1760000
2007-01-15,12.65,12.76,12.59,12.59,1600000
2007-01-16,12.43,12.74,12.36,12.64,1310000
2007-01-17,12.52,12.63,12.45,12.56,1250000
2007-01-18,12.53,12.61,12.44,12.55,1420000
2007-01-19,12.66,12.71,12.44,12.47,1510000
2007-01-22,12.59,12.79,12.55,12.69,1420000
2007-01-23,12.51,12.68,12.48,12.62,1310000
2007-01-24,12.65,12.68,12.52,12.52,1370000
2007-01-25,12.57,12.7,12.5,12.7,1200000
2007-01-26,12.37,12.53,12.28,12.51,2260000
2007-01-29,12.49,12.5,12.31,12.39,1080000
2007-01-30,12.5,12.59,12.36,12.5,1070000
2007-01-31,12.58,12.6,12.4,12.47,1650000
2007-02-01,12.77,12.79,12.62,12.64,1610000
2007-02-02,12.77,12.9,12.74,12.83,1280000
2007-02-05,12.89,12.94,12.71,12.74,1650000
2007-02-06,13.34,13.39,12.91,12.95,3400000
2007-02-07,13.34,13.4,13.19,13.31,1380000
2007-02-08,13.44,13.5,13.32,13.35,1930000
2007-02-09,13.84,13.86,13.45,13.5,3990000
2007-02-12,13.7,13.76,13.65,13.76,2760000
2007-02-13,13.53,13.77,13.45,13.71,2120000
2007-02-14,13.69,13.73,13.57,13.62,1460000
2007-02-15,13.59,13.69,13.45,13.69,1920000
2007-02-16,13.54,13.73,13.48,13.68,2350000
2007-02-19,13.46,13.55,13.36,13.52,2089999
2007-02-20,13.39,13.39,13.14,13.36,2220000
2007-02-21,13.45,13.67,13.32,13.47,2150000
