Date,Close,High,Low,Open,Volume
2009-02-11,13.05,13.15,13.05,13.12,0
2009-02-12,13.18,13.18,12.92,13.1,0
2009-02-13,12.95,13.33,12.95,13.16,0
2009-02-16,13.18,13.18,12.95,13.03,0
2009-02-17,13.19,13.19,12.97,12.98,0
2009-02-18,13.37,13.37,12.65,13.01,0
2009-02-19,13.0,13.51,13.0,13.24,0
2009-02-20,13.23,13.23,12.95,12.97,0
2009-02-25,12.65,12.95,12.65,12.95,0
2009-02-26,13.05,13.05,12.52,12.77,0
2009-02-27,12.36,12.73,12.36,12.73,0
2009-03-06,10.75,11.13,10.75,10.88,0
2009-03-09,10.41,10.53,10.41,10.51,0
2009-03-10,10.77,10.77,10.1,10.45,0
2009-03-11,10.4,10.71,10.4,10.46,0
2009-03-12,11.16,11.16,10.47,10.53,0
2009-03-13,10.56,11.18,10.56,11.01,0
2009-03-16,10.95,10.95,10.8,10.82,0
2009-03-17,10.92,10.92,10.62,10.82,0
2009-03-18,10.75,10.97,10.75,10.81,0
2009-03-19,10.55,10.89,10.55,10.89,0
2009-03-20,10.25,10.63,10.25,10.6,0
2009-04-01,11.08,11.08,11.05,11.05,0
2009-04-02,11.48,11.48,11.1,11.1,0
2009-04-03,11.28,11.55,11.28,11.5,0
2009-04-06,11.52,11.52,11.38,11.43,0
2009-04-07,11.45,11.74,11.45,11.55,0
2009-04-08,11.77,11.77,11.38,11.45,0
2009-04-09,11.7,11.87,11.7,11.71,0
2009-04-16,11.99,11.99,11.5,11.5,0
2009-04-17,12.14,12.14,11.65,11.87,0
2009-04-20,11.89,12.3,11.89,12.25,0
2009-04-21,11.85,12.22,11.85,12.12,0
2009-04-22,11.98,11.98,11.28,11.89,0
2009-04-23,11.98,11.98,11.75,11.79,0
2009-04-24,12.57,12.57,12.26,12.27,0
2009-04-27,12.58,12.58,12.4,12.45,0
2009-04-28,13.21,13.21,11.95,12.43,0
2009-04-29,13.29,13.29,12.97,13.08,0
2009-04-30,13.48,13.48,13.09,13.24,0
2009-05-05,12.98,13.34,12.98,13.33,0
2009-05-06,13.24,13.24,13.0,13.0,0
2009-05-07,12.91,13.22,12.91,13.18,0
2009-05-08,13.42,13.42,13.1,13.2,0
2009-05-14,13.25,13.25,13.0,13.02,0
2009-05-15,12.94,13.33,12.94,13.23,0
2009-05-18,13.37,13.37,13.02,13.02,0
2009-05-19,13.53,13.53,13.28,13.28,0
2009-05-20,13.03,13.46,13.03,13.45,0
2009-05-21,13.34,13.34,13.1,13.13,0
2009-05-22,13.48,13.48,13.12,13.23,0
2009-05-25,13.38,13.38,13.27,13.37,0
2009-05-26,13.1,13.34,13.1,13.3,0
2009-05-27,12.81,13.27,12.81,13.25,0
2009-05-28,12.84,12.95,12.84,12.88,0
2009-05-29,12.71,13.02,12.71,12.9,0
2009-06-02,12.68,12.87,12.68,12.72,0
2009-06-03,12.86,12.86,12.62,12.8,0
2009-06-04,12.51,12.89,12.51,12.76,0
2009-06-05,12.02,12.63,12.02,12.6,0
2009-06-11,12.56,12.56,12.43,12.44,0
2009-06-12,12.33,12.57,12.33,12.48,0
2009-06-15,12.51,12.51,12.12,12.16,0
2009-06-16,12.2,12.48,12.2,12.47,0
2009-06-17,12.09,12.09,11.98,12.01,0
2009-06-18,12.16,12.16,11.87,12.05,0
2009-06-19,12.35,12.35,12.02,12.03,0
2009-06-24,12.38,12.38,11.82,12.0,0
2009-06-25,12.05,12.36,12.05,12.28,0
2009-06-26,12.5,12.5,12.25,12.25,0
2009-07-02,12.48,12.67,12.48,12.59,0
2009-07-03,12.44,12.53,12.44,12.53,0
2009-07-06,12.67,12.67,12.32,12.36,0
2009-07-07,12.43,12.65,12.43,12.64,0
2009-07-08,12.63,12.63,12.32,12.4,0
2009-07-09,12.65,12.67,12.51,12.58,0
2009-07-10,12.52,12.66,12.51,12.58,0
2009-07-13,12.68,12.7,12.43,12.45,0
2009-07-14,12.61,12.69,12.57,12.68,0
2009-07-15,12.09,12.64,11.86,12.61,0
2009-07-16,12.18,12.26,12.05,12.15,0
2009-07-17,12.21,12.37,12.11,12.26,0
