Date,Close,High,Low,Open,Volume
2009-02-11,15.64,15.64,15.54,15.61,0
2009-02-12,15.01,15.59,15.01,15.52,0
2009-02-13,15.53,15.53,15.28,15.3,0
2009-02-16,15.63,15.63,15.4,15.44,0
2009-02-17,15.28,15.65,15.28,15.43,0
2009-02-18,15.69,15.69,15.07,15.39,0
2009-02-19,15.12,15.62,15.12,15.54,0
2009-02-20,14.28,15.15,14.28,15.05,0
2009-02-25,13.87,14.4,13.87,14.39,0
2009-02-26,14.0,14.26,14.0,14.14,0
2009-02-27,14.47,14.47,14.0,14.02,0
2009-03-06,13.75,14.19,13.75,14.19,0
2009-03-09,14.15,14.15,13.93,14.05,0
2009-03-10,13.77,14.39,13.77,14.11,0
2009-03-11,13.87,14.14,13.87,14.03,0
2009-03-12,14.28,14.28,13.83,13.95,0
2009-03-13,14.02,14.55,14.02,14.22,0
2009-03-16,14.11,14.49,14.11,14.49,0
2009-03-17,14.71,14.71,14.28,14.28,0
2009-03-18,14.79,14.79,14.5,14.62,0
2009-03-19,14.61,14.78,14.61,14.71,0
2009-03-20,14.31,14.7,14.31,14.65,0
2009-04-01,14.29,14.58,14.29,14.31,0
2009-04-02,14.86,14.86,14.45,14.64,0
2009-04-03,14.71,14.97,14.71,14.8,0
2009-04-06,14.37,14.99,14.37,14.91,0
2009-04-07,14.4,14.74,14.4,14.65,0
2009-04-08,14.68,14.68,14.3,14.35,0
2009-04-09,14.72,14.72,14.47,14.56,0
2009-04-16,14.08,14.37,14.08,14.37,0
2009-04-17,14.53,14.53,14.14,14.14,0
2009-04-20,14.13,14.43,14.13,14.3,0
2009-04-21,13.25,14.37,13.25,14.28,0
2009-04-22,14.35,14.35,13.6,13.6,0
2009-04-23,14.47,14.47,14.15,14.32,0
2009-04-24,14.38,14.38,14.22,14.28,0
2009-04-27,14.38,14.38,14.11,14.12,0
2009-04-28,14.37,14.37,13.92,14.06,0
2009-04-29,14.72,14.72,14.0,14.34,0
2009-04-30,15.23,15.23,14.85,14.86,0
2009-05-05,15.11,15.4,15.11,15.4,0
2009-05-06,15.09,15.48,15.09,15.25,0
2009-05-07,14.93,15.43,14.93,15.3,0
2009-05-08,15.24,15.24,14.88,14.88,0
2009-05-14,14.95,14.95,14.72,14.73,0
2009-05-15,15.85,15.85,15.04,15.1,0
2009-05-18,16.05,16.05,15.51,15.62,0
2009-05-19,16.12,16.12,15.81,15.81,0
2009-05-20,16.49,16.49,16.05,16.2,0
2009-05-21,15.9,16.22,15.9,16.1,0
2009-05-22,16.15,16.34,16.15,16.15,0
2009-05-25,16.28,16.28,16.09,16.16,0
2009-05-26,16.33,16.33,16.11,16.14,0
2009-05-27,16.48,16.48,16.25,16.25,0
2009-05-28,16.25,16.25,15.92,16.19,0
2009-05-29,16.05,16.34,16.05,16.1,0
2009-06-02,15.56,15.84,15.56,15.79,0
2009-06-03,15.41,15.81,15.41,15.78,0
2009-06-04,15.08,15.64,15.08,15.54,0
2009-06-05,15.5,15.5,15.2,15.4,0
2009-06-11,15.14,15.14,14.96,15.06,0
2009-06-12,15.43,15.43,15.05,15.15,0
2009-06-15,15.3,15.3,15.2,15.27,0
2009-06-16,15.15,15.36,15.15,15.26,0
2009-06-17,15.18,15.18,15.09,15.13,0
2009-06-18,15.2,15.2,14.93,15.1,0
2009-06-19,14.87,15.15,14.87,15.14,0
2009-06-24,14.99,14.99,14.63,14.79,0
2009-06-25,15.06,15.06,14.78,15.0,0
2009-06-26,14.86,15.12,14.86,15.09,0
2009-07-02,15.52,16.33,15.52,15.85,0
2009-07-03,15.72,15.99,15.72,15.85,0
2009-07-06,16.02,16.02,15.77,15.86,0
2009-07-07,15.72,15.72,15.0,15.66,0
2009-07-08,15.05,15.42,15.05,15.27,0
2009-07-09,15.32,15.52,15.07,15.09,0
2009-07-10,15.24,15.33,15.07,15.21,0
2009-07-13,15.49,15.6,15.09,15.12,0
2009-07-14,15.47,15.58,15.35,15.57,0
2009-07-15,15.53,15.71,15.42,15.47,0
2009-07-16,15.78,15.85,15.5,15.62,0
2009-07-17,15.8,15.93,15.72,15.82,0
2009-07-20,15.8,15.98,15.77,15.98,0
2009-07-21,15.8,15.91,15.75,15.85,0
