Date,Close,High,Low,Open,Volume
2009-02-11,2.28,2.29,2.28,2.29,0
2009-02-12,2.26,2.31,2.26,2.28,0
2009-02-13,2.15,2.3,2.15,2.3,0
2009-02-16,2.08,2.15,2.08,2.13,0
2009-02-17,2.03,2.09,2.03,2.09,0
2009-02-18,2.01,2.09,2.01,2.09,0
2009-02-19,2.01,2.05,2.01,2.03,0
2009-02-20,1.86,1.98,1.86,1.98,0
2009-02-25,1.65,1.77,1.65,1.75,0
2009-02-26,1.72,1.72,1.69,1.69,0
2009-02-27,1.6,1.69,1.6,1.69,0
2009-03-06,1.38,1.62,1.38,1.62,0
2009-03-09,1.42,1.46,1.42,1.45,0
2009-03-10,1.6,1.6,1.42,1.44,0
2009-03-11,1.6,1.6,1.53,1.57,0
2009-03-12,1.53,1.53,1.48,1.52,0
2009-03-13,1.6,1.6,1.55,1.58,0
2009-03-16,1.64,1.65,1.64,1.65,0
2009-03-17,1.56,1.64,1.56,1.64,0
2009-03-18,1.65,1.65,1.59,1.6,0
2009-03-19,1.75,1.75,1.66,1.68,0
2009-03-20,1.72,1.72,1.65,1.68,0
2009-04-01,1.72,1.72,1.67,1.67,0
2009-04-02,1.76,1.76,1.65,1.68,0
2009-04-03,1.83,1.83,1.69,1.73,0
2009-04-06,1.72,1.79,1.72,1.77,0
2009-04-07,1.78,1.78,1.71,1.74,0
2009-04-08,1.78,1.78,1.7,1.73,0
2009-04-09,1.91,1.91,1.78,1.8,0
2009-04-16,2.13,2.13,2.06,2.07,0
2009-04-17,2.08,2.1,2.08,2.09,0
2009-04-20,2.01,2.1,2.01,2.09,0
2009-04-21,2.09,2.09,1.99,2.01,0
2009-04-22,2.12,2.12,2.05,2.07,0
2009-04-23,2.17,2.17,2.1,2.12,0
2009-04-24,2.12,2.16,2.12,2.15,0
2009-04-27,2.09,2.09,2.07,2.07,0
2009-04-28,2.08,2.08,2.01,2.07,0
2009-04-29,2.1,2.1,2.03,2.03,0
2009-04-30,2.21,2.21,2.08,2.09,0
2009-05-05,2.18,2.23,2.18,2.22,0
2009-05-06,2.27,2.27,2.18,2.19,0
2009-05-07,2.27,2.37,2.27,2.28,0
