Date,Close,High,Low,Open,Volume
2009-02-11,6.03,6.03,5.98,5.98,0
2009-02-12,5.94,6.04,5.94,6.0,0
2009-02-13,5.97,6.18,5.97,5.99,0
2009-02-16,5.71,6.0,5.71,5.99,0
2009-02-17,5.84,5.84,5.62,5.72,0
2009-02-18,5.4,5.85,5.4,5.83,0
2009-02-19,5.73,5.73,5.32,5.56,0
2009-02-20,5.36,5.53,5.36,5.5,0
2009-02-25,5.17,5.17,4.95,5.13,0
2009-02-26,5.93,5.93,5.04,5.15,0
2009-02-27,5.73,5.73,5.5,5.53,0
2009-03-06,4.51,4.79,4.51,4.75,0
2009-03-09,4.46,4.52,4.46,4.49,0
2009-03-10,4.52,4.7,4.52,4.57,0
2009-03-11,4.83,4.83,4.65,4.65,0
2009-03-12,4.42,4.66,4.42,4.62,0
2009-03-13,4.37,4.58,4.37,4.5,0
2009-03-16,4.8,4.8,4.58,4.66,0
2009-03-17,4.52,4.78,4.52,4.69,0
2009-03-18,4.61,4.74,4.61,4.65,0
2009-03-19,4.6,4.76,4.6,4.76,0
2009-03-20,4.45,4.67,4.45,4.58,0
2009-04-01,5.47,5.47,5.38,5.38,0
2009-04-02,5.38,5.75,5.38,5.57,0
2009-04-03,5.44,5.6,5.44,5.59,0
2009-04-06,5.75,5.95,5.75,5.83,0
2009-04-07,5.9,6.14,5.9,5.92,0
2009-04-08,6.41,6.41,5.94,5.97,0
2009-04-09,7.35,7.35,6.45,6.49,0
2009-04-16,6.85,7.53,6.85,7.28,0
2009-04-17,7.02,7.02,6.67,6.7,0
2009-04-20,6.3,6.89,6.3,6.85,0
2009-04-21,6.21,6.49,6.21,6.37,0
2009-04-22,6.82,6.82,6.48,6.5,0
2009-04-23,6.95,6.95,6.75,6.86,0
2009-04-24,6.81,6.81,6.71,6.75,0
2009-04-27,7.05,7.05,6.74,6.74,0
2009-04-28,7.16,7.16,6.77,6.95,0
2009-04-29,7.0,7.2,7.0,7.14,0
2009-04-30,7.22,7.22,7.08,7.18,0
2009-05-05,7.86,7.86,7.55,7.7,0
2009-05-06,7.89,7.89,7.74,7.74,0
2009-05-07,7.11,8.01,7.11,7.85,0
2009-05-08,7.96,7.96,7.5,7.57,0
2009-05-14,7.08,7.28,7.08,7.17,0
2009-05-15,6.75,7.15,6.75,7.15,0
2009-05-18,6.93,6.93,6.64,6.65,0
2009-05-19,6.82,7.06,6.82,6.94,0
2009-05-20,7.1,7.1,6.87,6.9,0
2009-05-21,6.7,6.96,6.7,6.95,0
2009-05-22,7.14,7.14,6.77,6.8,0
2009-05-25,7.12,7.12,6.95,7.01,0
2009-05-26,7.21,7.21,6.94,7.1,0
2009-05-27,6.95,7.17,6.95,7.05,0
2009-05-28,7.05,7.05,6.95,7.05,0
2009-05-29,6.88,7.09,6.88,7.09,0
2009-06-02,7.05,7.14,7.05,7.12,0
2009-06-03,7.05,7.14,7.05,7.1,0
2009-06-04,7.31,7.31,7.05,7.05,0
2009-06-05,7.2,7.46,7.2,7.32,0
2009-06-11,7.3,7.3,7.22,7.3,0
2009-06-12,7.15,7.29,7.15,7.24,0
2009-06-15,7.28,7.28,7.03,7.1,0
2009-06-16,7.08,7.26,7.08,7.22,0
2009-06-17,6.9,6.9,6.7,6.8,0
2009-06-18,6.55,6.84,6.55,6.8,0
2009-06-19,6.77,6.77,6.63,6.69,0
2009-06-24,6.64,6.64,6.31,6.42,0
2009-06-25,6.7,6.7,6.5,6.62,0
2009-06-26,6.62,6.76,6.62,6.74,0
2009-07-02,6.42,6.67,6.42,6.6,0
2009-07-03,6.31,6.52,6.31,6.46,0
2009-07-06,6.17,6.32,6.17,6.32,0
2009-07-07,5.92,6.25,5.92,6.23,0
2009-07-08,5.68,5.96,5.68,5.95,0
2009-07-09,5.73,5.88,5.65,5.75,0
2009-07-10,5.91,5.94,5.8,5.82,0
2009-07-13,6.06,6.09,5.83,5.9,0
2009-07-14,6.05,6.15,5.96,6.13,0
2009-07-15,6.04,6.16,6.02,6.05,0
2009-07-16,6.12,6.16,6.01,6.08,0
2009-07-17,5.97,6.15,5.93,6.12,0
2009-07-20,5.99,6.08,5.96,6.04,0
2009-07-21,6.07,6.07,5.98,6.0,0
2009-07-22,6.18,6.19,5.96,5.96,0
2009-07-23,6.55,6.56,6.22,6.22,0
2009-07-24,6.7,6.75,6.48,6.5,0
2009-07-27,6.98,7.03,6.77,6.77,0
2009-07-28,7.15,7.23,7.01,7.01,0
2009-07-29,7.1,7.16,6.94,7.16,0
2009-07-30,7.59,7.64,7.16,7.18,0
2009-07-31,7.99,8.19,7.51,7.51,0
2009-08-03,7.92,7.99,7.72,7.95,0
2009-08-04,7.84,7.89,7.73,7.89,0
2009-08-05,7.8,7.99,7.74,7.85,0
2009-08-06,7.82,7.94,7.76,7.81,0
2009-08-07,7.77,7.86,7.61,7.78,0
2009-08-10,7.83,7.9,7.81,7.82,0
2009-08-11,7.82,7.94,7.81,7.87,0
2009-08-12,8.09,8.14,7.8,7.84,0
2009-08-13,8.14,8.18,7.98,8.11,0
2009-08-14,8.18,8.24,8.07,8.16,0
2009-08-17,7.91,8.19,7.87,8.19,0
2009-08-18,8.01,8.05,7.88,7.88,0
2009-08-19,7.89,8.03,7.81,8.03,0
2009-08-20,8.04,8.09,7.88,7.89,0
2009-08-21,8.11,8.14,7.82,8.05,0
2009-08-24,8.07,8.15,8.03,8.15,0
2009-08-25,8.08,8.13,7.95,8.05,0
2009-08-26,8.02,8.14,7.96,8.03,0
2009-08-27,7.94,8.07,7.91,8.01,0
2009-08-28,8.0,8.07,7.97,8.0,0
2009-08-31,7.85,8.04,7.81,7.95,0
2009-09-01,7.72,7.98,7.72,7.87,0
2009-09-02,7.6,7.73,7.39,7.66,0
2009-09-03,7.71,7.78,7.42,7.61,0
2009-09-04,7.77,7.93,7.75,7.79,0
2009-09-07,8.0,8.04,7.84,7.85,0
2009-09-08,7.99,8.04,7.94,8.0,0
2009-09-09,8.8,8.89,8.57,8.57,0
2009-09-10,8.68,9.02,8.68,8.91,0
2009-09-11,8.54,8.84,8.52,8.76,0
2009-09-14,8.79,8.84,8.43,8.46,0
2009-09-15,8.82,8.88,8.67,8.86,0
2009-09-16,9.18,9.32,8.96,8.96,0
2009-09-17,9.5,9.86,9.29,9.29,0
2009-09-18,9.49,9.63,9.45,9.62,0
2009-09-21,9.22,9.38,8.72,9.28,0
2009-09-22,9.36,9.4,9.21,9.22,0
2009-09-23,9.36,9.43,9.23,9.38,0
2009-09-24,9.18,9.41,9.13,9.25,0
2009-09-25,9.11,9.18,8.97,9.18,0
2009-09-28,9.14,9.15,8.84,9.12,0
2009-09-29,8.89,9.2,8.84,9.19,0
2009-09-30,8.65,9.03,8.59,8.91,0
2009-10-01,8.74,8.84,8.7,8.76,0
2009-10-02,8.18,8.34,8.09,8.25,0
2009-10-05,8.16,8.29,8.05,8.13,0
2009-10-06,8.55,8.67,8.22,8.22,0
2009-10-07,8.54,8.76,8.48,8.58,0
2009-10-08,8.64,8.69,8.57,8.62,0
2009-10-09,8.66,8.82,8.61,8.68,0
2009-10-12,8.7,8.79,8.68,8.68,0
2009-10-13,8.56,8.77,8.47,8.64,0
2009-10-14,8.71,8.77,8.64,8.65,0
2009-10-15,8.29,8.73,8.18,8.73,0
2009-10-16,7.89,8.31,7.79,8.31,0
2009-10-19,7.89,8.0,7.82,7.96,0
2009-10-20,7.87,8.02,7.84,7.97,0
2009-10-21,7.87,7.94,7.66,7.88,0
2009-10-22,7.72,7.77,7.61,7.77,0
2009-10-23,7.63,7.93,7.63,7.77,0
2009-10-26,7.45,7.79,7.43,7.71,0
2009-10-27,7.49,7.54,7.37,7.45,0
2009-10-28,7.07,7.52,6.97,7.52,0
2009-10-29,7.74,7.77,6.97,7.09,0
2009-10-30,7.11,7.87,7.04,7.81,0
2009-11-02,7.2,7.29,7.1,7.22,0
2009-11-03,7.06,7.16,6.83,7.16,0
2009-11-04,7.31,7.33,7.07,7.09,0
2009-11-05,7.4,7.43,7.14,7.2,0
2009-11-06,7.37,7.48,7.32,7.38,0
2009-11-09,7.46,7.49,7.42,7.48,0
2009-11-10,7.44,7.54,7.35,7.45,0
2009-11-11,7.63,7.85,7.45,7.48,0
2009-11-12,7.77,7.88,7.72,7.73,0
2009-11-13,7.82,7.92,7.74,7.8,0
2009-11-16,7.92,7.99,7.86,7.92,0
2009-11-17,7.98,8.04,7.86,7.91,0
2009-11-18,7.95,8.03,7.92,8.02,0
2009-11-19,7.75,7.96,7.68,7.96,0
2009-11-20,7.61,7.86,7.59,7.76,0
2009-11-23,7.7,7.78,7.65,7.68,0
2009-11-24,7.63,7.72,7.59,7.62,0
2009-11-25,7.66,7.72,7.62,7.7,0
2009-11-26,7.42,7.64,7.39,7.64,0
2009-11-27,7.58,7.66,7.25,7.3,0
2009-11-30,7.44,7.68,7.43,7.62,0
2009-12-01,7.7,7.71,7.5,7.53,0
2009-12-02,7.75,7.78,7.68,7.74,0
2009-12-03,7.86,7.94,7.77,7.8,0
2009-12-04,7.82,7.85,7.71,7.82,0
2009-12-07,7.89,7.92,7.76,7.81,0
2009-12-08,7.72,7.89,7.67,7.84,0
2009-12-09,7.97,8.09,7.72,7.74,0
2009-12-10,8.07,8.07,7.86,7.99,0
2009-12-11,8.66,8.67,8.13,8.13,0
2009-12-14,8.68,8.84,8.51,8.68,0
2009-12-15,9.05,9.08,8.73,8.76,0
2009-12-16,8.93,9.16,8.82,9.04,0
2009-12-17,9.25,9.61,9.22,9.47,0
2009-12-18,9.86,9.93,9.08,9.25,0
2009-12-21,9.43,9.63,9.16,9.63,0
2009-12-22,9.79,9.93,9.48,9.57,0
2009-12-23,9.84,9.93,9.77,9.82,0
2009-12-28,10.01,10.09,9.81,9.96,0
2009-12-29,10.09,10.14,9.82,10.04,0
2009-12-30,10.07,10.29,9.96,10.07,0
2010-01-04,10.14,10.36,10.09,10.2,0
2010-01-05,10.19,10.27,10.09,10.22,0
2010-01-06,10.18,10.23,10.07,10.23,0
2010-01-07,10.3,10.32,10.16,10.18,0
2010-01-08,10.41,10.45,10.31,10.4,0
2010-01-11,10.32,10.44,10.27,10.41,0
2010-01-12,10.44,10.86,10.43,10.43,0
2010-01-13,10.49,10.58,10.39,10.45,0
2010-01-14,10.5,10.55,10.43,10.54,0
2010-01-15,10.24,10.6,9.87,10.52,0
2010-01-18,10.43,10.47,10.02,10.22,0
2010-01-19,10.5,10.6,10.26,10.44,0
2010-01-20,10.72,10.86,10.45,10.51,0
2010-01-21,10.56,10.98,10.55,10.74,0
2010-01-22,10.38,10.58,10.33,10.57,0
2010-01-25,10.52,10.61,10.27,10.31,0
2010-01-26,10.77,10.8,10.5,10.52,0
2010-01-27,10.34,10.73,10.27,10.73,0
2010-01-28,10.37,10.67,10.33,10.42,0
2010-01-29,10.37,10.45,10.23,10.38,0
2010-02-01,10.57,10.73,10.23,10.31,0
2010-02-02,10.63,10.7,10.47,10.57,0
2010-02-03,10.96,11.01,10.66,10.68,0
2010-02-04,9.88,11.12,9.88,10.9,0
2010-02-05,9.55,9.82,9.34,9.8,0
2010-02-08,9.27,9.62,9.27,9.56,0
2010-02-09,9.46,9.57,9.14,9.23,0
2010-02-10,9.87,9.91,9.56,9.57,0
2010-02-11,9.8,10.03,9.61,10.0,0
2010-02-12,9.61,9.93,9.49,9.91,0
2010-02-15,9.68,9.77,9.63,9.66,0
2010-02-16,9.68,9.84,9.66,9.78,0
2010-02-17,10.03,10.04,9.8,9.82,0
2010-02-18,10.14,10.32,10.0,10.0,0
2010-02-19,10.38,10.38,10.0,10.02,0
2010-02-22,10.13,10.35,10.09,10.34,0
2010-02-23,9.89,10.28,9.86,10.13,0
