Date,Close,High,Low,Open,Volume
2009-02-11,17.14,17.14,16.82,16.82,0
2009-02-12,16.55,17.02,16.55,16.87,0
2009-02-13,16.41,17.26,16.41,16.88,0
2009-02-16,16.02,16.33,16.02,16.32,0
2009-02-17,16.3,16.3,15.75,16.0,0
2009-02-18,15.81,16.33,15.81,16.21,0
2009-02-19,15.94,16.23,15.94,16.07,0
2009-02-20,15.4,15.85,15.4,15.82,0
2009-02-25,14.6,15.49,14.6,15.45,0
2009-02-26,15.43,15.43,14.91,14.95,0
2009-02-27,14.01,15.1,14.01,14.9,0
2009-03-06,12.42,13.14,12.42,12.94,0
2009-03-09,12.5,12.5,12.34,12.44,0
2009-03-10,10.81,12.55,10.81,12.05,0
2009-03-11,11.84,11.84,11.01,11.28,0
2009-03-12,11.43,11.86,11.43,11.81,0
2009-03-13,11.01,11.96,11.01,11.87,0
2009-03-16,9.51,9.51,9.37,9.4,0
2009-03-17,8.53,9.4,8.53,9.38,0
2009-03-18,8.59,8.91,8.59,8.78,0
2009-03-19,8.5,8.68,8.5,8.65,0
2009-03-20,8.51,8.51,8.39,8.41,0
2009-04-01,10.56,11.07,10.56,10.76,0
2009-04-02,11.03,11.03,10.6,10.83,0
2009-04-03,10.74,10.74,10.21,10.21,0
2009-04-06,10.46,10.82,10.46,10.81,0
2009-04-07,10.88,10.88,10.63,10.73,0
2009-04-08,11.01,11.01,10.63,10.72,0
2009-04-09,10.82,11.18,10.82,11.07,0
2009-04-16,12.16,12.16,11.4,11.55,0
2009-04-17,11.76,12.3,11.76,12.25,0
2009-04-20,11.82,12.23,11.82,11.89,0
2009-04-21,12.12,12.12,11.8,11.82,0
2009-04-22,12.21,12.21,11.88,12.05,0
2009-04-23,12.61,12.61,12.05,12.1,0
2009-04-24,12.01,12.24,12.01,12.21,0
2009-04-27,11.86,11.86,11.73,11.74,0
2009-04-28,11.4,11.7,11.4,11.7,0
2009-04-29,11.95,11.95,11.52,11.55,0
2009-04-30,12.18,12.18,11.97,12.04,0
2009-05-05,11.99,12.27,11.99,12.17,0
2009-05-06,12.8,12.8,12.21,12.26,0
2009-05-07,12.45,12.99,12.45,12.78,0
2009-05-08,12.54,12.75,12.54,12.57,0
2009-05-14,12.57,12.57,12.34,12.37,0
2009-05-15,12.73,12.73,12.35,12.5,0
2009-05-18,12.83,12.83,12.42,12.46,0
2009-05-19,13.17,13.17,12.92,12.92,0
2009-05-20,13.02,13.29,13.02,13.15,0
2009-05-21,12.9,13.07,12.9,13.0,0
2009-05-22,12.84,13.12,12.84,12.85,0
2009-05-25,13.06,13.06,12.83,12.88,0
2009-05-26,13.06,13.06,12.76,12.97,0
2009-05-27,13.04,13.18,13.04,13.1,0
2009-05-28,13.06,13.06,12.95,13.02,0
2009-05-29,12.71,13.12,12.71,13.1,0
2009-06-02,12.73,12.84,12.73,12.84,0
2009-06-03,12.45,12.83,12.45,12.79,0
2009-06-04,12.14,12.63,12.14,12.54,0
2009-06-05,12.3,12.52,12.3,12.45,0
2009-06-11,12.61,12.61,12.46,12.47,0
2009-06-12,12.71,12.71,12.51,12.54,0
2009-06-15,12.14,12.41,12.14,12.4,0
2009-06-16,12.39,12.39,12.16,12.17,0
2009-06-17,11.61,11.77,11.61,11.74,0
2009-06-18,11.66,11.89,11.66,11.8,0
2009-06-19,12.5,12.5,11.75,11.75,0
2009-06-24,12.86,12.86,12.21,12.37,0
2009-06-25,12.57,12.9,12.57,12.72,0
2009-06-26,12.75,12.95,12.75,12.86,0
2009-07-02,13.06,13.34,13.06,13.24,0
2009-07-03,12.41,12.68,12.41,12.67,0
2009-07-06,12.35,12.35,12.13,12.33,0
2009-07-07,12.11,12.5,12.11,12.36,0
2009-07-08,11.91,12.17,11.91,12.1,0
2009-07-09,12.07,12.27,11.98,11.98,0
2009-07-10,11.98,12.22,11.97,12.05,0
2009-07-13,12.25,12.29,11.91,11.91,0
2009-07-14,12.27,12.46,12.19,12.32,0
2009-07-15,12.54,12.56,12.3,12.36,0
2009-07-16,12.68,12.71,12.42,12.55,0
2009-07-17,12.56,12.77,12.5,12.72,0
2009-07-20,12.7,12.76,12.61,12.75,0
2009-07-21,12.49,12.76,12.44,12.75,0
2009-07-22,12.58,12.58,12.43,12.53,0
2009-07-23,12.86,12.88,12.54,12.6,0
2009-07-24,13.09,13.14,12.89,12.9,0
2009-07-28,13.06,13.15,13.03,13.11,0
2009-07-29,13.11,13.14,13.01,13.08,0
2009-07-30,13.07,13.19,12.9,13.17,0
2009-07-31,13.09,13.28,13.03,13.07,0
2009-08-03,13.51,13.68,13.16,13.17,0
2009-08-04,13.68,13.73,13.51,13.61,0
2009-08-05,13.45,14.14,13.43,13.78,0
2009-08-06,13.66,13.76,13.53,13.61,0
2009-08-07,13.73,13.77,13.47,13.61,0
2009-08-10,13.63,13.8,13.61,13.78,0
2009-08-11,13.38,13.76,13.31,13.69,0
2009-08-12,13.45,13.47,13.31,13.4,0
2009-08-13,13.73,13.78,13.45,13.45,0
2009-08-14,13.64,13.86,13.53,13.79,0
2009-08-17,13.53,13.68,13.4,13.66,0
2009-08-18,13.61,13.65,13.51,13.63,0
2009-08-19,13.82,13.86,13.51,13.61,0
2009-08-20,14.01,14.03,13.88,13.89,0
2009-08-21,14.18,14.24,13.91,13.93,0
2009-08-24,14.67,14.77,14.34,14.39,0
2009-08-25,14.76,14.89,14.67,14.7,0
2009-08-26,14.76,14.83,14.38,14.73,0
2009-08-27,14.58,14.95,14.54,14.85,0
2009-08-28,14.67,14.85,14.64,14.73,0
2009-08-31,14.69,14.81,14.59,14.59,0
2009-09-01,14.3,14.71,14.27,14.71,0
2009-09-02,14.11,14.24,13.83,14.22,0
2009-09-03,14.04,14.19,14.0,14.18,0
2009-09-04,14.07,14.25,14.06,14.1,0
2009-09-07,14.33,14.41,14.14,14.27,0
2009-09-08,14.16,14.43,14.12,14.37,0
2009-09-09,14.41,14.43,14.29,14.32,0
2009-09-10,14.37,14.51,14.29,14.51,0
2009-09-11,14.47,14.56,14.44,14.46,0
2009-09-14,14.58,14.6,14.27,14.4,0
2009-09-15,14.57,14.72,14.57,14.59,0
2009-09-16,14.6,14.75,14.6,14.7,0
2009-09-17,14.59,14.72,14.55,14.72,0
2009-09-18,14.53,14.63,14.45,14.59,0
2009-09-21,14.41,14.49,14.34,14.49,0
2009-09-22,14.57,14.64,14.43,14.47,0
2009-09-23,14.49,14.77,14.43,14.6,0
2009-09-24,14.36,14.64,14.31,14.45,0
2009-09-25,14.38,14.51,14.22,14.41,0
2009-09-28,14.61,14.67,14.32,14.47,0
2009-09-29,14.79,14.83,14.62,14.68,0
2009-09-30,15.11,15.49,14.82,14.82,0
2009-10-01,14.61,14.97,14.57,14.9,0
2009-10-02,14.3,14.42,14.13,14.22,0
2009-10-05,14.41,14.5,14.27,14.37,0
2009-10-06,14.79,14.82,14.48,14.49,0
2009-10-07,14.73,14.85,14.68,14.83,0
