Date,Close,High,Low,Open,Volume
2009-02-11,32.78,32.92,32.78,32.8,0
2009-02-12,33.1,33.1,32.31,32.74,0
2009-02-13,31.8,33.08,31.8,32.94,0
2009-02-16,32.01,32.01,31.4,31.68,0
2009-02-17,31.06,31.66,31.06,31.38,0
2009-02-18,30.9,31.32,30.9,31.19,0
2009-02-19,32.11,32.11,31.1,31.1,0
2009-02-20,31.92,31.92,30.82,31.5,0
2009-02-25,31.3,32.39,31.3,32.19,0
2009-02-26,32.49,32.49,31.11,31.55,0
2009-02-27,30.86,32.2,30.86,32.05,0
2009-03-06,29.27,29.27,27.71,27.85,0
2009-03-09,29.35,29.35,29.05,29.17,0
2009-03-10,27.75,29.02,27.75,29.0,0
2009-03-11,27.54,28.68,27.54,28.52,0
2009-03-12,26.8,28.0,26.8,28.0,0
2009-03-13,28.98,28.98,27.82,28.06,0
2009-03-16,27.94,28.25,27.94,28.13,0
2009-03-17,27.77,28.35,27.77,28.02,0
2009-03-18,28.8,28.8,28.17,28.21,0
2009-03-19,28.31,29.1,28.31,28.98,0
2009-03-20,29.47,29.47,28.44,28.6,0
2009-04-01,28.85,29.24,28.85,29.07,0
2009-04-02,29.57,29.57,29.0,29.0,0
2009-04-03,28.35,29.12,28.35,29.01,0
2009-04-06,29.88,29.88,29.03,29.17,0
2009-04-07,30.44,30.44,29.43,29.77,0
2009-04-08,30.93,30.93,29.85,29.85,0
2009-04-09,29.72,31.0,29.72,31.0,0
2009-04-16,30.78,30.78,30.13,30.13,0
2009-04-17,31.67,31.67,30.01,30.01,0
2009-04-20,30.51,31.5,30.51,31.4,0
2009-04-21,31.02,31.02,30.32,30.35,0
2009-04-22,30.02,30.75,30.02,30.27,0
2009-04-23,30.75,30.75,30.08,30.08,0
2009-04-24,30.64,30.64,30.4,30.4,0
2009-04-27,30.36,30.7,30.36,30.41,0
2009-04-28,30.64,30.64,30.0,30.16,0
2009-04-29,31.51,31.51,30.75,30.8,0
2009-04-30,32.03,32.03,31.32,31.32,0
2009-05-05,31.14,31.64,31.14,31.15,0
2009-05-06,31.4,31.4,31.16,31.25,0
2009-05-07,31.93,31.93,31.3,31.3,0
2009-05-08,32.15,32.15,31.76,31.83,0
2009-05-14,31.91,31.91,31.51,31.58,0
2009-05-15,31.92,31.92,31.5,31.5,0
2009-05-18,31.64,31.64,31.11,31.2,0
2009-05-19,32.15,32.15,31.61,31.61,0
2009-05-20,32.5,32.5,31.65,31.73,0
2009-05-21,32.67,32.67,31.95,32.2,0
2009-05-22,32.2,32.93,32.2,32.31,0
2009-05-25,32.75,32.75,32.26,32.34,0
2009-05-26,33.08,33.08,32.12,32.25,0
2009-05-27,33.31,33.31,32.8,32.8,0
2009-05-28,32.75,33.13,32.75,32.94,0
2009-05-29,32.8,33.24,32.8,33.24,0
2009-06-02,33.1,33.67,33.1,33.57,0
2009-06-03,32.78,33.4,32.78,33.4,0
2009-06-04,32.51,33.23,32.51,33.16,0
2009-06-05,32.42,33.02,32.42,32.88,0
2009-06-11,31.86,32.22,31.86,32.0,0
2009-06-12,31.53,31.83,31.53,31.8,0
2009-06-15,31.22,31.22,30.71,31.05,0
2009-06-16,31.3,31.3,30.85,31.05,0
2009-06-17,31.19,31.19,30.85,31.09,0
2009-06-18,31.7,31.7,31.2,31.42,0
2009-06-19,32.1,32.1,31.31,31.31,0
2009-06-24,33.29,33.29,32.23,32.3,0
2009-06-25,32.98,32.98,32.3,32.8,0
2009-06-26,32.35,32.8,32.35,32.51,0
2009-07-02,31.27,32.01,31.27,31.89,0
2009-07-03,31.25,31.7,31.25,31.7,0
2009-07-06,31.69,31.69,31.09,31.35,0
2009-07-07,31.23,31.75,31.23,31.7,0
2009-07-08,31.87,31.87,31.04,31.37,0
2009-07-09,31.44,31.8,31.15,31.4,0
2009-07-10,31.36,31.45,31.14,31.24,0
2009-07-13,31.74,31.91,31.04,31.23,0
2009-07-14,31.41,32.01,31.36,31.72,0
2009-07-15,32.05,32.09,31.4,31.57,0
2009-07-16,31.84,32.15,31.66,31.96,0
2009-07-17,32.2,32.28,31.89,31.89,0
2009-07-20,32.1,32.33,31.99,32.26,0
2009-07-21,32.22,32.5,32.13,32.3,0
2009-07-22,32.47,32.48,32.15,32.29,0
2009-07-23,32.19,32.58,31.89,32.56,0
2009-07-24,31.37,32.06,31.19,32.0,0
2009-07-28,31.76,31.89,31.47,31.58,0
2009-07-29,32.51,32.51,31.69,31.88,0
2009-07-30,33.02,33.02,32.38,32.57,0
2009-07-31,32.83,33.2,32.54,32.91,0
2009-08-03,33.25,33.38,32.86,32.96,0
2009-08-04,32.89,33.33,32.84,33.11,0
2009-08-05,32.52,33.38,32.52,32.81,0
2009-08-06,32.56,32.94,32.45,32.6,0
2009-08-07,32.76,32.95,32.52,32.57,0
2009-08-10,33.06,33.14,32.69,32.98,0
2009-08-11,32.74,33.26,32.61,33.02,0
2009-08-12,32.73,32.88,32.58,32.59,0
2009-08-13,33.11,33.27,32.18,32.66,0
2009-08-14,32.91,33.16,32.6,32.97,0
2009-08-17,32.06,32.88,31.96,32.81,0
2009-08-18,31.68,32.05,31.54,31.93,0
2009-08-19,31.92,32.06,31.41,31.66,0
2009-08-20,32.44,32.61,31.97,32.15,0
2009-08-21,33.05,33.25,32.28,32.43,0
2009-08-24,32.73,33.28,32.6,33.22,0
2009-08-25,32.7,32.82,32.52,32.77,0
2009-08-26,32.77,86.34,32.49,32.6,0
2009-08-27,33.1,33.24,32.82,32.82,0
2009-08-28,32.72,33.3,32.72,33.24,0
2009-08-31,32.6,32.82,32.42,32.48,0
2009-09-01,32.35,32.96,32.28,32.63,0
2009-09-02,32.97,32.97,31.95,32.28,0
2009-09-03,32.41,33.19,32.27,33.15,0
2009-09-04,32.36,33.02,32.36,32.67,0
2009-09-07,32.92,33.06,32.59,32.59,0
2009-09-08,32.52,33.17,32.52,32.95,0
2009-09-09,32.5,32.67,32.37,32.53,0
2009-09-10,32.74,33.17,32.59,32.65,0
2009-09-11,33.09,33.14,32.78,32.82,0
2009-09-14,33.14,33.18,32.64,32.99,0
2009-09-15,33.55,33.69,32.84,33.13,0
2009-09-16,34.14,34.27,33.82,33.85,0
2009-09-17,34.53,34.66,34.19,34.47,0
2009-09-18,34.52,34.86,34.52,34.55,0
2009-09-21,34.82,34.82,34.3,34.56,0
2009-09-22,34.5,34.99,34.5,34.92,0
2009-09-23,34.68,34.72,34.53,34.56,0
2009-09-24,34.27,34.73,34.19,34.73,0
2009-09-25,34.17,34.31,34.1,34.28,0
2009-09-28,34.77,34.89,34.17,34.23,0
2009-09-29,34.77,34.99,34.58,34.89,0
2009-09-30,35.06,35.31,34.74,34.84,0
2009-10-01,34.75,35.16,34.71,35.1,0
2009-10-02,34.32,34.53,34.03,34.21,0
2009-10-05,34.39,34.51,34.16,34.42,0
2009-10-06,35.0,35.35,34.47,34.49,0
2009-10-07,35.42,35.42,34.7,35.24,0
2009-10-08,35.18,35.54,35.03,35.5,0
2009-10-09,35.75,35.84,35.29,35.29,0
2009-10-12,35.32,35.84,35.28,35.84,0
2009-10-13,35.42,35.64,35.12,35.35,0
2009-10-14,35.42,36.0,35.42,35.74,0
2009-10-15,35.06,35.5,35.05,35.46,0
2009-10-16,35.06,35.79,34.93,35.41,0
2009-10-19,35.89,35.99,35.17,35.21,0
2009-10-20,35.95,36.04,35.55,35.95,0
2009-10-21,36.23,36.36,35.73,35.8,0
2009-10-22,36.18,36.39,35.86,35.92,0
2009-10-23,35.88,36.36,35.88,36.2,0
2009-10-26,35.73,36.18,35.73,36.1,0
2009-10-27,35.63,36.14,35.45,36.1,0
2009-10-28,35.07,36.04,35.03,36.04,0
2009-10-29,35.82,35.94,34.79,35.05,0
2009-10-30,35.03,35.91,35.03,35.89,0
2009-11-02,34.82,35.42,34.79,35.14,0
2009-11-03,34.95,35.07,34.5,34.64,0
2009-11-04,34.86,35.22,34.57,35.06,0
2009-11-05,35.22,35.55,34.67,34.68,0
2009-11-06,35.24,35.33,35.06,35.18,0
2009-11-09,36.07,36.07,35.62,35.78,0
2009-11-10,35.96,36.35,35.67,36.09,0
2009-11-11,36.0,36.22,35.83,36.0,0
2009-11-12,35.66,36.08,35.66,36.05,0
2009-11-13,36.17,36.23,35.58,35.58,0
2009-11-16,36.14,36.36,36.03,36.11,0
2009-11-17,36.67,36.84,36.36,36.38,0
2009-11-18,37.0,37.2,36.75,36.75,0
2009-11-19,36.7,37.39,36.27,37.07,0
2009-11-20,36.94,37.12,36.66,36.91,0
2009-11-23,37.25,37.55,36.75,37.1,0
2009-11-24,37.28,37.53,36.92,37.09,0
2009-11-25,37.23,37.64,37.11,37.55,0
2009-11-26,36.77,37.33,36.71,37.1,0
2009-11-27,37.12,37.28,36.39,36.47,0
2009-11-30,36.58,37.36,36.28,37.2,0
2009-12-01,37.07,37.13,36.64,36.64,0
2009-12-02,36.96,37.27,36.83,36.99,0
2009-12-03,36.9,37.25,36.76,37.16,0
2009-12-04,37.43,37.43,36.72,36.72,0
2009-12-07,37.69,37.97,37.1,37.1,0
2009-12-08,37.0,37.85,36.87,37.56,0
2009-12-09,36.57,37.09,36.28,36.81,0
2009-12-10,36.47,36.57,35.92,36.39,0
2009-12-11,36.9,37.02,36.38,36.72,0
2009-12-14,37.04,37.39,36.99,37.03,0
2009-12-15,37.34,37.56,36.97,37.2,0
2009-12-16,37.64,37.77,37.13,37.21,0
2009-12-17,37.1,37.54,36.96,37.49,0
2009-12-18,37.14,37.49,37.14,37.2,0
2009-12-21,37.72,37.79,37.17,37.28,0
2009-12-22,38.09,38.2,37.6,37.78,0
2009-12-23,38.14,38.26,37.89,38.24,0
2009-12-28,38.38,39.16,38.21,38.21,0
2009-12-29,38.84,38.92,38.36,38.42,0
2009-12-30,38.91,39.02,38.77,38.98,0
2010-01-04,38.26,39.05,38.22,38.78,0
2010-01-05,38.15,38.36,38.11,38.18,0
2010-01-06,37.83,38.21,37.83,38.2,0
2010-01-07,37.53,37.85,37.31,37.85,0
2010-01-08,37.92,38.09,37.59,37.74,0
2010-01-11,37.96,38.35,37.92,38.03,0
