Date,Close,High,Low,Open,Volume
2007-01-02,26.63,26.85,26.29,26.31,21880000
2007-01-03,26.55,26.81,26.37,26.63,12660000
2007-01-04,26.53,26.55,26.0,26.25,20710000
2007-01-05,26.04,26.53,25.9,26.53,15000000
2007-01-08,25.95,26.29,25.9,26.04,7320000
2007-01-09,25.47,25.95,25.22,25.95,26060000
2007-01-10,25.22,25.47,25.1,25.47,36490000
2007-01-11,25.25,25.28,24.73,24.86,10160000
2007-01-12,25.22,25.46,25.01,25.06,23550000
2007-01-15,25.4,25.69,25.22,25.22,6700000
2007-01-16,24.95,25.48,24.82,25.4,33040000
2007-01-17,24.79,25.03,24.51,24.95,14980000
2007-01-18,24.72,25.0,24.56,24.79,17670000
2007-01-19,24.78,24.9,24.51,24.72,35130000
2007-01-22,24.71,25.0,24.64,24.78,21060000
2007-01-23,24.7,24.89,24.55,24.6,6300000
2007-01-24,25.19,25.34,24.7,24.7,23340000
2007-01-25,25.07,25.38,25.01,25.19,5610000
2007-01-26,24.9,25.07,24.78,25.07,14650000
2007-01-29,24.87,25.04,24.81,24.9,3420000
2007-01-30,25.14,25.29,24.76,24.93,5750000
2007-01-31,25.14,25.4,24.99,25.14,6130000
2007-02-01,25.28,25.55,25.2,25.5,7970000
2007-02-02,25.35,25.47,25.21,25.4,4290000
2007-02-05,25.64,25.68,25.2,25.35,6000000
2007-02-06,25.51,25.8,25.4,25.7,15740000
2007-02-07,25.43,25.55,25.25,25.51,8170000
2007-02-08,25.27,25.4,25.16,25.4,5600000
2007-02-09,25.31,25.47,25.27,25.27,3640000
2007-02-12,25.18,25.22,25.05,25.2,4550000
2007-02-13,25.39,25.42,25.18,25.18,11450000
2007-02-14,25.44,25.47,25.25,25.39,8400000
2007-02-15,25.23,25.5,25.15,25.44,7560000
2007-02-16,25.08,25.38,24.9,25.23,10430000
2007-02-19,25.09,25.16,24.92,25.05,4070000
2007-02-20,24.95,25.07,24.76,25.06,5680000
2007-02-21,24.92,25.07,24.8,24.95,4620000
2007-02-22,24.86,25.14,24.82,24.92,4280000
2007-02-23,24.99,25.02,24.8,24.89,7380000
2007-02-26,25.19,25.32,25.04,25.06,5580000
2007-02-27,24.54,25.19,24.4,25.19,19640000
2007-02-28,24.03,24.54,24.0,24.54,13140000
2007-03-01,23.76,24.29,23.4,23.81,17100000
2007-03-02,23.45,24.01,23.24,23.76,12190000
2007-03-05,23.33,23.5,23.0,23.45,17900000
2007-03-06,23.36,23.52,23.24,23.33,6390000
2007-03-07,23.33,23.5,23.16,23.36,6130000
2007-03-08,23.82,23.82,23.33,23.33,7070000
2007-03-09,24.02,24.14,23.62,24.0,8550000
2007-03-12,23.96,24.19,23.71,24.02,7560000
