Date,Close,High,Low,Open,Volume
2009-02-11,6.68,6.68,6.56,6.59,0
2009-02-12,6.23,6.65,6.23,6.52,0
2009-02-13,6.37,6.75,6.37,6.42,0
2009-02-16,6.23,6.43,6.23,6.35,0
2009-02-17,5.86,6.24,5.86,6.15,0
2009-02-18,5.86,6.11,5.86,6.01,0
2009-02-19,5.92,6.11,5.92,6.06,0
2009-02-20,5.51,5.9,5.51,5.85,0
2009-02-25,5.16,5.61,5.16,5.61,0
2009-02-26,5.76,5.76,5.24,5.37,0
2009-02-27,5.43,5.76,5.43,5.52,0
2009-03-06,5.45,5.45,5.11,5.35,0
2009-03-09,4.86,5.03,4.86,5.01,0
2009-03-10,5.14,5.14,4.76,4.92,0
2009-03-11,5.48,5.48,5.0,5.17,0
2009-03-12,5.5,5.5,5.07,5.07,0
2009-03-13,5.41,5.67,5.41,5.5,0
2009-03-16,5.48,5.71,5.48,5.66,0
2009-03-17,5.73,5.73,5.43,5.43,0
2009-03-18,5.4,5.73,5.4,5.53,0
2009-03-19,5.46,5.72,5.46,5.6,0
2009-03-20,5.72,5.72,5.43,5.43,0
2009-04-01,6.28,6.28,5.87,5.87,0
2009-04-02,6.59,6.59,6.18,6.34,0
2009-04-03,6.79,6.79,6.3,6.43,0
2009-04-06,6.6,6.86,6.6,6.71,0
2009-04-07,6.61,6.93,6.61,6.83,0
2009-04-08,7.17,7.17,6.62,6.75,0
2009-04-09,7.31,7.31,7.01,7.1,0
2009-04-16,7.94,7.94,7.26,7.34,0
2009-04-17,8.18,8.18,7.67,7.78,0
2009-04-20,7.76,8.16,7.76,8.09,0
2009-04-21,7.13,7.79,7.13,7.78,0
2009-04-22,7.96,7.96,7.43,7.43,0
2009-04-23,7.99,7.99,7.6,7.81,0
2009-04-24,7.8,7.8,7.68,7.68,0
2009-04-27,7.88,7.88,7.79,7.84,0
2009-04-28,7.25,7.71,7.25,7.69,0
2009-04-29,7.81,7.81,7.46,7.46,0
2009-04-30,8.02,8.02,7.7,7.76,0
2009-05-05,8.56,8.56,7.95,8.11,0
2009-05-06,8.17,8.58,8.17,8.58,0
2009-05-07,8.62,8.62,8.15,8.15,0
2009-05-08,8.91,8.91,8.45,8.47,0
2009-05-14,9.63,9.63,9.1,9.2,0
2009-05-15,9.28,9.8,9.28,9.64,0
2009-05-18,10.26,10.26,9.3,9.31,0
2009-05-19,11.32,11.32,10.35,10.35,0
2009-05-20,10.93,11.79,10.93,11.3,0
2009-05-21,10.83,11.19,10.83,11.19,0
2009-05-22,11.42,11.42,10.91,11.0,0
2009-05-25,11.02,11.41,11.02,11.41,0
2009-05-26,11.38,11.38,10.97,11.16,0
2009-05-27,11.22,11.67,11.22,11.45,0
2009-05-28,12.0,12.0,11.34,11.38,0
2009-05-29,11.53,12.25,11.53,11.85,0
2009-06-02,11.3,11.5,11.3,11.49,0
2009-06-03,10.65,11.37,10.65,11.37,0
2009-06-04,10.24,11.28,10.24,10.89,0
2009-06-05,10.84,10.84,10.55,10.67,0
2009-06-11,10.82,10.82,10.52,10.57,0
2009-06-12,10.53,10.89,10.53,10.84,0
2009-06-15,10.94,10.94,10.56,10.59,0
2009-06-16,10.74,10.74,10.42,10.6,0
2009-06-17,9.71,9.96,9.71,9.95,0
2009-06-18,9.51,10.05,9.51,9.94,0
2009-06-19,10.0,10.0,9.66,9.75,0
2009-06-24,9.91,9.91,9.25,9.33,0
2009-06-25,9.5,9.97,9.5,9.81,0
2009-06-26,10.02,10.02,9.65,9.85,0
2009-07-02,10.53,10.53,10.04,10.1,0
2009-07-03,10.1,10.33,10.1,10.21,0
2009-07-06,9.69,10.11,9.69,10.1,0
2009-07-07,9.66,10.0,9.66,9.96,0
2009-07-08,9.81,9.81,9.49,9.68,0
2009-07-09,10.78,10.94,10.64,10.64,0
2009-07-10,10.21,11.03,10.15,11.0,0
2009-07-13,10.26,10.34,9.86,9.93,0
2009-07-14,10.15,10.34,9.94,10.3,0
2009-07-15,10.31,10.55,10.25,10.25,0
2009-07-16,10.56,10.79,10.41,10.43,0
2009-07-17,10.75,10.88,10.59,10.63,0
2009-07-20,10.62,10.85,10.5,10.85,0
2009-07-21,10.71,10.81,10.57,10.61,0
2009-07-22,10.66,10.74,10.36,10.74,0
2009-07-23,10.6,10.69,10.39,10.69,0
2009-07-24,10.65,10.78,10.43,10.5,0
2009-07-27,10.63,10.78,10.61,10.78,0
2009-07-28,10.82,10.89,10.67,10.69,0
2009-07-29,10.8,10.88,10.71,10.82,0
2009-07-30,11.04,11.25,10.7,10.83,0
2009-07-31,11.25,11.39,10.94,11.03,0
2009-08-03,11.26,11.41,11.14,11.17,0
2009-08-04,11.25,11.34,11.15,11.26,0
2009-08-05,11.38,11.41,11.24,11.26,0
2009-08-06,11.33,11.47,11.31,11.44,0
2009-08-07,11.27,11.37,11.06,11.37,0
2009-08-10,11.3,11.31,11.05,11.11,0
2009-08-11,11.32,11.48,11.18,11.39,0
2009-08-12,11.28,11.33,11.21,11.27,0
2009-08-13,11.49,11.55,11.29,11.29,0
2009-08-14,11.47,11.6,11.42,11.44,0
2009-08-17,10.97,11.4,10.83,11.4,0
2009-08-18,11.04,11.13,10.9,10.96,0
2009-08-19,11.04,11.08,10.84,11.04,0
2009-08-20,10.9,11.32,10.53,11.13,0
2009-08-21,11.26,11.44,10.93,10.97,0
2009-08-24,11.42,11.48,11.36,11.36,0
2009-08-25,11.35,11.39,11.24,11.26,0
2009-08-26,11.57,11.69,11.36,11.36,0
2009-08-27,11.56,11.75,11.46,11.63,0
2009-08-28,11.69,11.77,11.42,11.68,0
2009-08-31,11.64,11.74,11.57,11.62,0
2009-09-01,10.95,11.68,10.95,11.6,0
2009-09-02,10.89,10.95,10.57,10.95,0
2009-09-03,10.8,10.9,10.68,10.9,0
2009-09-04,10.84,10.92,10.77,10.81,0
2009-09-07,11.07,11.28,10.94,10.95,0
2009-09-08,11.01,11.21,10.92,11.18,0
2009-09-09,11.16,11.18,11.07,11.12,0
