Date,Close,High,Low,Open,Volume
2007-06-05,28.26,29.17,27.86,28.2,0
2007-06-06,27.5,28.69,27.37,28.5,0
2007-06-07,26.65,27.78,26.51,27.55,0
2007-06-08,26.84,27.2,26.0,26.48,0
2007-06-11,27.07,27.29,26.84,27.26,0
2007-06-12,26.71,27.3,26.5,27.0,0
2007-06-13,26.56,26.79,26.18,26.54,0
2007-06-14,27.52,27.64,26.65,26.75,0
2007-06-15,28.02,28.27,27.56,27.56,0
2007-06-18,27.6,28.29,27.44,28.2,0
2007-06-19,27.6,28.05,27.21,27.6,0
2007-06-20,27.52,27.94,27.3,27.66,0
2007-06-21,27.32,27.42,26.7,27.25,0
2007-06-22,26.81,27.46,26.72,27.46,0
2007-06-25,26.32,26.63,26.15,26.62,0
2007-06-26,26.11,26.5,25.54,26.2,0
2007-06-27,25.94,26.18,25.73,25.84,0
2007-06-28,26.51,26.59,26.15,26.2,0
2007-06-29,27.0,27.08,26.53,26.98,0
2007-07-02,27.7,27.85,26.95,27.08,0
2007-07-03,28.22,28.24,27.82,27.96,0
2007-07-04,28.32,28.4,27.6,28.25,0
2007-07-05,28.34,28.6,28.11,28.47,0
2007-07-06,28.43,28.61,28.04,28.31,0
2007-07-09,28.58,28.7,28.08,28.53,0
2007-07-10,29.53,29.85,28.98,28.98,0
2007-07-11,29.68,29.82,28.65,29.37,0
2007-07-12,30.26,30.28,29.55,29.85,0
2007-07-13,30.75,31.05,30.3,30.94,0
2007-07-16,30.61,30.84,30.14,30.76,0
2007-07-17,30.55,30.7,30.12,30.53,0
2007-07-18,29.87,30.47,29.84,30.25,0
2007-07-19,30.45,30.75,29.92,30.09,0
2007-07-20,29.95,30.58,29.91,30.47,0
2007-07-23,30.61,30.63,29.7,29.95,0
2007-07-24,30.12,30.69,30.01,30.59,0
2007-07-25,29.96,30.46,29.64,29.81,0
2007-07-26,29.18,30.37,29.05,30.25,0
2007-07-27,28.79,29.5,28.47,28.83,0
2007-07-30,29.01,29.94,28.85,29.0,0
2007-07-31,29.96,29.98,29.12,29.25,0
2007-08-01,29.31,29.88,28.88,29.18,0
2007-08-02,29.31,29.81,29.15,29.34,0
2007-08-03,28.76,29.52,28.53,29.3,0
2007-08-06,28.42,29.27,28.05,28.58,0
2007-08-07,29.47,29.55,28.68,28.74,0
2007-08-08,31.08,31.19,29.45,29.5,0
2007-08-09,30.88,32.79,30.66,30.98,0
2007-08-10,30.66,31.37,30.23,30.46,0
2007-08-13,29.97,30.88,29.02,30.86,0
2007-08-15,28.55,29.28,28.1,29.08,0
2007-08-16,26.2,27.47,26.1,27.44,0
2007-08-17,26.86,27.83,25.75,26.09,0
2007-08-20,27.52,27.95,27.01,27.01,0
2007-08-21,27.4,28.25,27.1,27.97,0
2007-08-22,28.19,28.3,27.41,27.5,0
2007-08-23,28.3,29.13,28.16,28.44,0
2007-08-24,28.56,28.68,27.82,28.12,0
2007-08-27,28.43,28.89,28.36,28.75,0
2007-08-28,27.9,28.6,27.71,28.4,0
2007-08-29,28.14,28.24,27.26,27.5,0
2007-08-30,28.56,28.68,27.71,28.37,0
2007-08-31,29.26,29.49,28.65,28.65,0
2007-09-03,29.41,29.63,29.04,29.25,0
2007-09-04,30.02,30.07,29.1,29.35,0
2007-09-05,29.22,30.1,29.14,29.8,0
2007-09-06,29.05,29.64,28.66,29.25,0
2007-09-07,27.83,29.15,27.76,28.86,0
2007-09-10,27.36,28.4,27.31,27.85,0
2007-09-11,28.1,28.17,27.52,27.71,0
2007-09-12,27.94,28.26,26.81,28.21,0
2007-09-13,27.62,28.15,26.8,27.72,0
2007-09-14,27.35,27.7,26.83,27.44,0
2007-09-17,27.11,27.49,26.2,27.28,0
2007-09-18,27.68,27.84,26.8,26.8,0
2007-09-19,28.91,29.11,28.01,28.45,0
2007-09-20,29.07,29.24,28.36,28.68,0
2007-09-21,29.12,29.68,28.7,28.91,0
2007-09-24,29.19,29.58,28.91,29.1,0
2007-09-25,28.73,28.98,28.17,28.76,0
2007-09-26,28.75,29.1,28.59,28.75,0
2007-09-27,28.9,29.35,28.7,29.1,0
2007-09-28,28.65,29.09,28.41,28.95,0
2007-10-01,29.04,29.18,28.7,29.0,0
2007-10-02,28.96,29.55,28.8,29.35,0
2007-10-03,29.06,29.49,28.8,28.99,0
2007-10-04,29.16,29.4,28.89,29.14,0
2007-10-05,29.41,30.0,29.19,29.25,0
2007-10-08,29.68,30.2,29.49,29.61,0
2007-10-09,29.68,30.1,29.3,29.76,0
2007-10-10,30.44,30.84,29.9,29.9,0
2007-10-11,30.83,31.2,30.6,30.6,0
2007-10-12,30.75,30.98,30.0,30.67,0
2007-10-15,31.41,31.81,30.7,30.87,0
2007-10-16,31.65,31.76,31.27,31.35,0
2007-10-17,31.85,32.53,31.56,31.89,0
2007-10-18,31.96,32.16,31.56,31.85,0
2007-10-19,32.03,32.6,31.71,31.93,0
2007-10-22,31.32,31.8,30.76,31.06,0
2007-10-23,32.41,32.6,31.42,31.6,0
2007-10-24,32.01,33.0,31.81,32.38,0
2007-10-25,32.8,32.85,32.08,32.59,0
2007-10-26,33.36,33.74,32.38,32.98,0
2007-10-29,34.07,34.1,33.52,33.56,0
2007-10-30,34.97,35.08,33.82,33.82,0
2007-10-31,35.0,35.75,34.61,35.0,0
2007-11-01,35.28,35.6,34.53,35.44,0
2007-11-02,34.98,35.47,34.69,35.3,0
2007-11-05,34.86,34.98,34.61,34.81,0
2007-11-06,35.85,36.44,34.94,34.95,0
2007-11-07,36.3,36.3,35.14,36.02,0
2007-11-08,35.42,36.18,35.15,35.81,0
2007-11-09,34.53,36.44,33.65,35.4,0
2007-11-12,34.68,35.38,33.71,34.39,0
2007-11-13,33.1,34.47,32.57,34.25,0
2007-11-14,34.12,34.5,33.57,34.0,0
2007-11-15,32.64,34.2,32.44,34.12,0
2007-11-16,30.79,32.67,29.56,32.54,0
2007-11-19,28.97,32.06,28.94,30.79,0
2007-11-20,29.88,30.0,28.06,29.06,0
2007-11-21,28.69,29.7,28.51,29.7,0
2007-11-22,28.65,29.22,28.31,28.85,0
2007-11-23,28.41,29.0,28.21,28.69,0
2007-11-26,29.01,29.8,28.51,28.51,0
2007-11-27,28.61,29.27,28.02,28.54,0
2007-11-28,30.0,30.02,28.71,28.97,0
2007-11-29,30.54,30.59,29.7,30.3,0
2007-11-30,31.02,31.02,30.47,30.5,0
2007-12-03,30.5,31.2,30.05,31.04,0
2007-12-04,30.23,30.88,29.77,30.42,0
2007-12-05,31.68,31.89,30.53,30.58,0
2007-12-06,31.11,32.45,30.82,31.98,0
2007-12-07,31.7,32.0,31.2,31.31,0
2007-12-10,32.4,32.43,31.55,31.75,0
2007-12-11,32.55,32.8,32.11,32.66,0
2007-12-12,32.33,32.68,31.74,31.81,0
2007-12-13,31.04,32.49,31.01,32.13,0
2007-12-14,31.43,31.59,31.03,31.36,0
2007-12-17,30.29,31.13,30.2,31.0,0
2007-12-18,30.48,30.74,30.12,30.13,0
2007-12-19,31.07,31.52,30.51,30.52,0
2007-12-20,31.24,31.46,31.0,31.09,0
2007-12-21,31.54,31.95,31.36,31.53,0
2007-12-27,31.61,31.98,31.15,31.98,0
2007-12-28,31.98,32.1,31.13,31.46,0
2008-01-02,30.97,32.0,30.6,31.6,0
2008-01-03,30.54,31.2,29.7,30.94,0
2008-01-04,29.47,30.5,29.03,30.5,0
2008-01-07,28.23,29.64,28.0,29.39,0
2008-01-08,28.75,29.29,28.3,28.39,0
2008-01-09,27.31,28.33,26.87,28.25,0
2008-01-10,26.08,27.72,26.01,27.5,0
2008-01-11,26.17,26.85,26.05,26.06,0
2008-01-14,27.02,27.66,25.8,26.1,0
2008-01-15,26.32,27.49,26.12,27.35,0
2008-01-16,25.25,26.32,25.16,25.87,0
2008-01-17,25.56,27.35,25.07,25.77,0
2008-01-18,25.78,27.2,25.24,25.45,0
2008-01-21,23.19,25.77,23.14,25.27,0
2008-01-22,24.24,24.64,21.3,21.62,0
2008-01-23,23.43,24.7,22.8,24.5,0
2008-01-24,24.3,24.98,24.0,24.81,0
2008-01-25,25.04,25.8,24.8,24.99,0
2008-01-28,24.51,24.8,24.11,24.51,0
2008-01-29,25.31,25.6,24.65,24.75,0
2008-01-30,25.25,25.7,24.81,25.25,0
2008-01-31,25.33,25.68,24.37,25.4,0
2008-02-01,26.49,26.65,25.56,25.74,0
2008-02-04,27.42,28.49,27.0,27.0,0
2008-02-05,25.68,27.4,25.46,27.28,0
2008-02-06,25.9,26.37,25.13,25.43,0
2008-02-07,25.16,25.95,24.64,25.82,0
2008-02-08,25.62,25.95,24.9,25.47,0
2008-02-11,25.13,25.94,24.95,25.35,0
2008-02-12,26.21,26.4,25.22,25.25,0
2008-02-13,26.42,26.64,25.57,25.95,0
2008-02-14,26.47,26.89,26.18,26.51,0
2008-02-15,26.14,26.85,25.8,26.54,0
2008-02-18,27.0,27.17,26.3,26.39,0
2008-02-19,26.7,27.1,26.43,27.0,0
2008-02-20,26.52,26.67,26.02,26.31,0
2008-02-21,26.14,27.0,26.08,26.73,0
2008-02-22,25.35,26.03,25.09,25.86,0
2008-02-25,25.73,26.07,25.29,25.86,0
2008-02-26,26.51,26.62,25.7,25.84,0
2008-02-27,27.42,27.5,26.11,26.64,0
2008-02-28,26.6,27.2,26.43,27.18,0
2008-02-29,27.15,27.3,25.37,26.56,0
2008-03-03,26.33,27.1,26.03,26.74,0
2008-03-04,25.99,26.9,25.66,26.49,0
2008-03-05,27.22,27.3,26.11,26.18,0
2008-03-06,28.3,28.5,27.6,27.6,0
2008-03-07,28.75,30.0,27.78,27.78,0
2008-03-10,28.98,29.96,28.45,28.65,0
2008-03-11,29.66,29.86,28.91,28.99,0
2008-03-12,29.57,30.39,29.41,29.89,0
2008-03-13,29.13,29.26,28.6,29.0,0
2008-03-14,29.27,30.08,28.96,29.19,0
2008-03-18,28.99,29.2,28.39,28.42,0
2008-03-19,29.13,29.8,28.41,29.42,0
2008-03-20,28.1,29.21,28.02,28.99,0
2008-03-25,29.47,29.47,28.01,28.01,0
2008-03-26,29.16,29.71,28.96,29.41,0
2008-03-27,29.93,29.97,28.95,29.15,0
2008-03-28,29.3,30.22,29.1,29.83,0
2008-03-31,28.9,29.41,28.61,29.16,0
2008-04-01,29.77,29.82,28.8,28.9,0
2008-04-02,30.2,30.23,29.4,29.9,0
2008-04-03,30.4,31.35,30.13,30.35,0
2008-04-04,30.7,30.7,29.9,30.7,0
2008-04-07,31.05,31.35,30.81,31.0,0
2008-04-08,30.43,31.05,30.1,31.03,0
